Reference Type	Authors, Primary	Title Primary	Periodical Full	Periodical Abbrev	Pub Year	Pub Date Free From	Volume	Issue	Start Page	Other Pages	Keywords	Abstract	Notes	Personal Notes	Authors, Secondary	Title Secondary	Edition	Publisher	Place Of Publication	Authors, Tertiary	Authors, Quaternary	Authors, Quinary	Title, Tertiary	ISSN/ISBN	Availability	Author/Address	Accession Number	Language	Classification	Sub file/Database	Original Foreign Title	Links	URL	DOI	PMID	PMCID	Call Number	Database	Data Source	Identifying Phrase	Retrieved Date	Shortened Title	User 1	User 2	User 3	User 4	User 5	User 6	User 7	User 8	User 9	User 10	User 11	User 12	User 13	User 14	User 15
Journal Article	"Avila,Jose M.;Romero-Alcaraz,Eduardo"	[Aphodius (Loraspis) frater Mulsant and Rey, 1870 present in the south of Spain (Coleoptera, Scarabaeoidea, Aphodiidae)]	Nouvelle Revue d'Entomologie	Nouv.Rev.Entomol.	2000	Janvier-Mars, 2000	17	1	67	68	Life Sciences & Biomedicine - Other Topics	 	PT: J ME: print	 		 	 	 	 				 	0374-9797 ER	 	"Avila, Jose M.; Romero-Alcaraz, Eduardo; Departamento de Biologia Animal y Ecologia, Facultad de Ciencias, Universidad de Granada, E-18071, Granada, Spain"	 	 	 	DT: Article	Sobre la presencia de Aphodius (Loraspis) frater Mulsant and Rey, 1870 en el sur de la Peninsula Iberica (Coleoptera, Scarabaeoidea, Aphodiidae)	 	 	 	 	 	 	 	Web Of Knowledge	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Journal Article	"Barahona Fernandez,E.;Linares,J."	The Soils of the Barranco-Hondo Sierra-Nevada Spain 1. Typology and Soil Forming Factors	Anales de Edafologia y Agrobiologia	 	1979	 	38	09-Oct	1543	1554	Agriculture	The studied area is located within the Dilar river basin at elevations between 2000-2500 m. Quartzites and micaschists are the most widespread rocks. The oldest geomorphic surfaces (slopes < 20.degree.) are occupied by Entic Cryumbrepts, while in the younger ones (slopes over 20.degree.) Lithic Cryorthents are the dominant soils. Differences in profile development for the Cryumbrepts depend mainly on slight differences in relief.	PT: J	 		 	 	 	 				 	0365-1797 ER	 	"DELGADO CALVO-FLORES R; ESTACION EXP ZAIDIN, CSIC, GRANADA, GRENADA"	 	 	 	DT: Article	 	 	 	 	 	 	 	 	Web Of Knowledge	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Conference Proceedings	"Bastazo,G.;Vela,J. M.;Avila,J. M."	Chrysomelidae Coleoptera of Sierra Nevada Southern Spain	 	 	1989	 	 	 	91	92	"Life Sciences & Biomedicine - Other Topics;Environmental Sciences & Ecology"	 	"PT: B; SO: EUROPEAN ASSOCIATION OF COLEOPTEROLOGY. INTERNATIONAL CONGRESS OF    COLEOPTEROLOGY, ABSTRACTS VOLUME, BARCELONA, SPAIN, SEPTEMBER 18-23,    1989. 156P. ASOCIACION EUROPEA DE COLEOPTEROLOGIA: BARCELONA, SPAIN.    ILLUS. PAPER"	 		 	 	 	 				 	84-404-4971-2 ER	 	"BASTAZO G; TRAFALGAR 3, 1 4, 29003 MALAGA, SPAIN"	 	 	 	"DT: Book; Meeting"	 	 	 	 	 	 	 	 	Web Of Knowledge	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Book, Whole	"Baudiere,A.;Serve,L."	Oro Mediterranean Groupings in the Eastern Pyrenees and their Relation to Similar Groups in the Sierra-Nevada	 	 	1975	 	 	 	468	 	"Life Sciences & Biomedicine - Other Topics;Environmental Sciences & Ecology;Anatomy & Morphology ER"	 	PT: B	 		 	 	 	 				 	 	 	 	 	 	 	DT: Book	 	 	 	 	 	 	 	 	Web Of Knowledge	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Journal Article	Beaucournu J-C	A New Flea for the Iberian Fauna Peromyscopsylla-Spectabilis-Viatrix New-Subspecies Siphonaptera Leptopsyllidae	Entomologiste (Paris)	 	1975	 	31	6	227	230	"Life Sciences & Biomedicine - Other Topics;Anatomy & Morphology;Parasitology"	The new subspecies was found on and in nests of Microtus nivalis (Martins) in the Sierra Nevada (Granada [Spain]). P. s. viatrix is described and compared with P. s. spectabilis. The distribution and origin of P. spectabilis, P. silvatica (Meinert) and P. fallax (Rothschild) and their hosts are briefly discussed.	PT: J	 		 	 	 	 				 	0013-8886 ER	 	 	 	 	 	DT: Article	 	 	 	 	 	 	 	 	Web Of Knowledge	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Journal Article	"Bermejo-Orantes,F. J.;Garcia-Fernandez,P."	Morphological variability of Apis mellifera iberica in different apiaries of southern Spain	Journal of Apicultural Research	J.Apic.Res.	1995	 	34	1	23	30	"Entomology;Pathology;Physiology"	"Seven morphometric characters were measured in bees (Apis mellifera iberica) sampled from 12 locations in the south of the Iberian peninsula. A discriminant analysis showed that there were three distinct biometric groups which corresponded to the following geographical areas. Group 1: area of influence of the Guadalquivir valley (localities of Dos Hermanas, Hornachuelos, Lepe, Trassierra and Castellar de la Frontera), along with the localities of Caceres, Murcia and Vadillo; Group 2: area of Sierra Nevada and bordering areas (localities of Lanjaron, Pinos del Valle and Berja); Group 3: Mediterranean seaboard, along with the locality of Marc; 92.15% of the bees sampled were correctly assigned to their geographical locations. Groups 1 and 2 were very similar to each other, while the third differed considerably from both, displaying a very low cubital index. The variable with greatest discriminatory potential was the length of hairs on the fifth abdominal tergite. The origin of these populations and possible affinities between groups and their relationship to migratory beekeeping routes are discussed."	PT: J	 		 	 	 	 				 	0021-8839 ER	 	Departamento de Produccion Anim., Centro de Investigacion y Desarrollo Agrario, Camino de Purchil s/n, 18004 Granada, Spain	 	 	 	DT: Article	 	 	 	 	 	 	 	 	Web Of Knowledge	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Conference Proceedings	"Blanca,G.;Clemente Munoz,M.;Hernandez Bermejo,J. E.;Matilla,A.;Molero Mesa,J.;Pujadas,A."	Restoration Project for the Jardin De Altura De Sierra Nevada Sierra Nevada High Altitude Garden Granada Spain	 	 	1990	May 10-14, 1987	 	 	93	96	"Plant Sciences;Biodiversity & Conservation;Environmental Sciences & Ecology"	 	PT: B	 	"Hernandez Bermejo,J. E.;Clemente,M.;Heywood,V."	"Conservation Techniques in Botanic Gardens; International Conference on Techniques for the Conservation of Threatened Plant Species in Botanic Gardens in the Mediterranean Area"	Cordoba, Spain	Koeltz Scientific Books	"Koenigstein, Germany; Champaign, Illinois, Usa. Illus. Maps"				 	"1-878762-17-6; 3-87429-323-8 ER"	 	"BLANCA G; DEPARTAMENTO DE BIOLOGIA VEGETAL, UNIVERSIDAD DE GRANADA, ESPANA"	 	 	 	"DT: Book; Meeting"	 	 	 	 	 	 	 	 	Web Of Knowledge	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Conference Proceedings	"Blanca,G.;Molero Mesa,J."	Threat of Extinction in Sierra Nevada Granada Spain	 	 	1990	May 10-14, 1987	 	 	97	102	"Life Sciences & Biomedicine - Other Topics;Plant Sciences;Biodiversity & Conservation;Environmental Sciences & Ecology"	 	PT: B	 	"Hernandez Bermejo,J. E.;Clemente,M.;Heywood,V."	"Conservation Techniques in Botanic Gardens; International Conference on Techniques for the Conservation of Threatened Plant Species in Botanic Gardens in the Mediterranean Area"	Cordoba, Spain	Koeltz Scientific Books	"Koenigstein, Germany; Champaign, Illinois, Usa. Illus. Maps"				 	"1-878762-17-6; 3-87429-323-8 ER"	 	"BLANCA G; DEPARTAMENTO DE BIOLOGIA VEGETAL, FACULTAD DE CIENCIAS, UNIVERSIDAD DE GRANADA, ESPANA"	 	 	 	"DT: Book; Meeting"	 	 	 	 	 	 	 	 	Web Of Knowledge	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Journal Article	"Bocio,I.;Lorite,J.;Navarro,F. B.;Valle,F."	[Application of phytosociology in the restoration of fire-affected zones. An example in Sierra Nevada (southeast Spain).]	[Data of the sigmatist (Braun-Blanquet) phytosociology.Structure, management, use.]	 	2000	 	Volume 27	 	979	997	Environmental Sciences & Ecology	 	PT: S ME: print	 	Gehu,Jean-Marie	Colloques Phytosociologiques	 	 	 				 	"1430-0540; 3-443-70015-2 (cloth) ER"	 	"Navarro, F. B.; Valle, F.; Dpto. Biologia Vegetal, Facultad de Ciencias, Universidad de Granada, C/Severo Ochoa s/no., 18071, Granada, Spain"	 	 	 	"DT: Book Chapter; Meeting; LT: Meeting Paper"	"Aplicacion de la fitosociologia a la restauracion de la vegetacion en zonas incendiadas; un ejemplo en Sierra Nevada (S.E. Espana)."	 	 	 	 	 	 	 	Web Of Knowledge	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Journal Article	"Boettinger,Janis L.;Schupp,Eugene W.;Castro,Jorge;Gomez,Jose Maria;Zamora,Regino"	Soil acidification following burning of pine plantations, Sierra Nevada, Spain	Ecological Society of America Annual Meeting Abstracts	 	2001	 	86	 	257	 	"Agriculture;Environmental Sciences & Ecology ER"	 	PT: J ME: print	 		 	 	 	 				 	 	 	 	 	 	 	"DT: Meeting; LT: Meeting Abstract"	 	 	 	 	 	 	 	 	Web Of Knowledge	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
