PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZR	ZB	ZS	Z9	U1	U2	SN	EI	BN	UT	PM
J	Beaucournu, J.-C.								Une puce nouvelle de la faune iberique Peromyscopsylla spectabilis viatrix ssp. nova (Siphon. Leptopsyllidae).								Entomologiste				31	6			227	230					1975	1975										0	0		0	0	0						ZOOREC:ZOOR11200020314	
J	BEAUCOURNU J-C								A NEW FLEA FOR THE IBERIAN FAUNA PEROMYSCOPSYLLA-SPECTABILIS-VIATRIX NEW-SUBSPECIES SIPHONAPTERA LEPTOPSYLLIDAE								Entomologiste (Paris)				31	6			227	230					1975	1975	The new subspecies was found on and in nests of Microtus nivalis (Martins) in the Sierra Nevada (Granada [Spain]). P. s. viatrix is described and compared with P. s. spectabilis. The distribution and origin of P. spectabilis, P. silvatica (Meinert) and P. fallax (Rothschild) and their hosts are briefly discussed.									0	0		0	0	0			0013-8886			BIOSIS:PREV197662061192	
J	Harz, K.								Die Orthopteren Europas 2.								Series Ent				11				1	939					1975	1975										7	2	0	10	0	10						ZOOREC:ZOOR11200044959	
B	Fernandez Rubio, F.			Real Sociedad Espanola de Historia Natural					Catalogo de los ropaloceros de Sierra Nevada (Grenada).								Volumen extraordinario del primer centenario (1871-1971). Tomo 2. Trabajos cientificos de biologia.								171	176					1975	1975										0	0		0	0	0						ZOOREC:ZOOR11500026810	
B	"BAUDIERE A; SERVE L"								ORO MEDITERRANEAN GROUPINGS IN THE EASTERN PYRENEES AND THEIR RELATION TO SIMILAR GROUPS IN THE SIERRA-NEVADA								GUINOCHET, M. ET AL. (ED.). COLLOQUES INTERNATIONAUX DU CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE, NO. 235. FLORA MEDITERRANEA. LA FLORE DU BASSIN MEDITERRANEEN. ESSAI DE SYSTEMATIQUE SYNTHETIQUE. MONTPELLIER, FRANCE, 4-8 JUIN, 1974. (INTERNATIONAL COLLOQUIA OF THE NATIONAL CENTER FOR SCIENTIFIC RESEARCH, NO. 235. MEDITERRANEAN FLORA. THE FLORA OF THE MEDITERRANEAN BASIN. A COMPREHENSIVE SYSTEMATIC STUDY. MONTPELLIER, FRANCE, JUNE 4-8, 1974.). (IN FR.). 576P. ILLUS. MAPS. EDITIONS DU CNRS: PARIS, FRANCE. ISBN 2-222-01764-5								457	468					1975	1975										0	0		0	0	0						BIOSIS:PREV197612088611	
B	MARTINEZ-SILVESTRE R								1ST REPORT ON THE LIMNOLOGY OF THE ALPINE LAKE LA-CALDERA IN THE PENIBETIC MOUNTAINS SIERRA-NEVADA GRANADA SPAIN								"SLADECEK, V. (ED.). INTERNATIONALE VEREINIGUNG FUER THEORETISCHE UND ANGEWANDTE LIMNOLOGIE, VERHANDLUNGEN. INTERNATIONAL ASSOCIATION OF THEORETICAL AND APPLIED LIMNOLOGY, PROCEEDINGS, VOL. 19, PARTS 1-4. WINNIPEG, MANITOBA, CANADA, 1974. III+748P. (PT. 1.); IV+848P.(PT. 2.); IV+928P.(PT. 3.); III+886P.(PT. 4.). E. SCHWEIZERBART'SCHE VERLAGSBUCHHANDLUNG: STUTTGART, WEST GERMANY. ISBN 3-510-54008-5(PT. 1.); ISBN 3-510-54009-3(PT. 2); ISBN 3-510-54010-7(PT. 3.); ISBN 3-510-54011-5(PT. 4.)"								1133	1139					1975	1975										0	0		0	0	0						BIOSIS:PREV197713022686	
J	Jeanne, C.								Carabiques nouveaux (5.								Bulletin Soc Ent France				79	03-Apr			66	71					1974	1974										1	0	0	1	0	1						ZOOREC:ZOOR11100012517	
J	WEISE E								THE SPECIES OF ISOMIRA COLEOPTERA ALLECULIDAE OF MIDDLE EUROPE AND PLACES SITUATED IN THE MEDITERRANEAN SEA								Entomologische Blaetter fuer Biologie und Systematik der Kaefer				70	2			65	128					1974	1974										2	0		6	0	6			0013-8835			BIOSIS:PREV197661049298	
J	WITTMER W								CONTRIBUTION TO THE KNOWLEDGE OF THE PALEARCTIC CANTHARIDAE AND MALACHIIDAE COLEOPTERA								Fragmenta Entomologica				10	1			1	20					1974	1974										2	0		2	0	2			0429-288X			BIOSIS:PREV197458055123	
J	Holzel, H.								Ein neuer trichterbauender Ameisenli we aus Sudwesteuropa (Planipenna).								Nachrichtenblatt bayer Ent				23	5			81	85					1974	1974										2	0		3	0	3						ZOOREC:ZOOR11100028442	
B	MARTINEZ-SILVESTRE R								STUDY OF THE DIATOM FLORA OF THE ALPINE LAKE AGUAS-VERDES SIERRA-NEVADA GRANADA SPAIN BY LIGHT AND ELECTRON MICROSCOPY								MARSHALL, K. E. XIX CONGRESS INTERNATIONAL ASSOCIATION OF LIMNOLOGY, WINNIPEG, CANADA, AUG. 22-29, 1974. 238P. FRESHWATER INSTITUTE, DEPARTMENT OF ENVIRONMENT: WINNIPEG, MANITOBE, CANADA								135	135					1974	1974										0	0		0	0	0						BIOSIS:PREV197511090445	
J	"Villar Del Fresno, A; Cabo Torres, J"								[Phytochemical study of Aconitum lycoctonum from Sierra Nevada. I. Quantitative determination of the alkaloid content].				Estudio fitoquimico del Aconitum lycoctonum de Sierra Nevada. I. Determinacion cuantitativa de su contenido alcaloidico				Bollettino chimico farmaceutico				112	12			839	42					1973-Dec	1973										0	0		0	0	0			Jun-48			MEDLINE:4793302	4793302
J	CHUECA F E								PLANT SPECIES AND COMMUNITIES OF THE CALCAREOUS REGION OF THE SIERRA-NEVADA PLANTS FROM DORNAJO AND TREVENEQUE								Boletim da Sociedade Broteriana				47	SUPPL			179	224					1973/74	1973										2	0		0	0	2			0081-0657			BIOSIS:PREV197511051985	
J	Lacourt, J.								Note sur quelques hymenopteres tenthredoides captures dans la Sierra-Nevada (Espagne), avec description d'une nouvelle espece du genre Tenthredo L.								Bulletin Soc Ent France				78	07-Aug			289	293					1973	1973										1	0	0	1	0	1						ZOOREC:ZOOR11000011627	
J	"Ruiz Bustos, A.; Camacho Munoz, I."								Datos sobre la alimentaciOn del Bubo bubo y determinacion de micromamiferos en Sierra Nevada mediante egagropilas.								Cuadernos Cienc biol				2	2			57	61					1973	1973										1	0		1	0	1						ZOOREC:ZOOR11300015134	
B	Pulawski, W.	Pulawski, W.							Les Tachysphex Kohl (Hym., Sphecidae) de la region palearctique occidentale et centrale.								Les Tachysphex Kohl (Hym., Sphecidae) de la region palearctique occidentale et centrale.								1	464					1973	1973										0	0		0	0	0						ZOOREC:ZOOR11000000268	
J	LOEFFLER H								HARPACTICOIDS CRUSTACEA COPEPODA OF THE MOUNTAIN WATERS IN ANDALUSIA SIERRA-NEVADA SPAIN								Oesterreichische Akademie der Wissenschaften Mathematisch-Naturwissenschaftliche Klasse Sitzungsberichte Abteilung I				181	07-Oct			191	195					1973	1973										0	0		0	0	0			0029-8808			BIOSIS:PREV197661026216	
J	"Beaucournu, J.C.; Gilot, B.; Vericad, J.R."								Deux Ctenophthalmus nouveaux (Siphonaptera. Hystrichopsylli dae) du sud-est Iberique.								Revista Iber Parasit				33	1			127	134					1973	1973										1	0		1	0	1						ZOOREC:ZOOR11000037283	
J	"FERNANDEZ-RUBIO F; GOMEZ-BUSTILLO M R"								RHOPALOCERA AND ZYGAENA-SPP OF THE SIERRA-NEVADA SPAIN								Alexanor				7	8			339	345					1972	1972										0	0		0	0	0			Feb-08			BIOSIS:PREV197457043854	
J	"SERVE, L; BAUDIERE, A"								VEGETATION AND PERIGLACIAL DYNAMICS IN HIGH MOUNTAINOUS ENVIRONMENT (PYRENEES-ORIENTALES AND SIERRA-NEVADA) - RECENT DEVELOPMENT OF VEGETATION ON HIGH SUMMITS OF CATALAN PYRENEES								COMPTES RENDUS HEBDOMADAIRES DES SEANCES DE L ACADEMIE DES SCIENCES SERIE D				274	18			2585	&					1972	1972										1	0	0	1	0	1						WOS:A1972M441500010	
J	SERVE L								A NEW SPECIES FROM THE SIERRA-NEVADA SOUTHERN SPAIN IBERIS-EMBERGERI-D NEW SPECIES								Bulletin de la Societe Botanique de France				117	05-Jun			283	292					1971	1971										0	0		0	0	0			0037-8941			BIOSIS:PREV197152099742	
J	"PRIETO P; ESPINOSA P"								ASCO LICHENS OF THE CLIFFS OF SAN-FRANCISCO SIERRA-NEVADA GRANADA PART 1								Cuadernos de Ciencias Biologicas Universidad de Granada				1				95	98					1971	1971										0	0		0	0	0						BIOSIS:PREV197457029816	
J	"SOUTADE, G; BAUDIERE, A"								VEGETATION AND FORMS OF HIGH NORTHERN SLOPES OF SIERRA NEVADA (SOUTHERN SPAIN)								ANNALES DE GEOGRAPHIE				79	436			709	&		10.3406/geo.1970.15161			1970	1970										0	0	0	0	0	0			Mar-10			WOS:A1970Y211600003	
J	SERVE, L								HITHERTO UNKNOWN IBERIS OF SIERRA NEVADA (SOUTH SPAIN) IBERIS-EMBERGERI SERV, NOV SP								BULLETIN DE LA SOCIETE BOTANIQUE DE FRANCE				117	05-Jun			283	&					1970	1970										1	0	0	0	0	1						WOS:A1970J160700008	
J	LYNEBORG L								SOME MUSCIDAE FROM SOUTHERN SPAIN WITH DESCRIPTIONS OF 6 NEW SPECIES INSECTA DIPTERA								Steenstrupia				1	6			29	54					1970	1970										2	1	0	4	0	5			0375-2909			BIOSIS:PREV197152108051	
J	Betti, G.								Description d'une nouvelle sous-espi ce de Lysandra hispana H. S. d'Espagne (Lep. Lycaenidae).								Bull. Soc. ent. Mulhouse				1970				31	32					1970	1970										0	0		0	0	0						ZOOREC:ZOOR10700015136	
J	Serra-Tosio, B.								Deux Diamesini nouveaux d'Espagne (Diptera, Chironomidae).								Trav Lab Piscic Univ Grenoble				62				147	167					1970	1970										0	0		0	0	0						ZOOREC:ZOOR10800035024	
