"Status";"File";"TitlePrimary";"AuthorsPrimary";"PeriodicalFull";"PubYear";"Volume";"Issue";"StartPage";"OtherPages";"Comment"
"Facil acceso";"CARRILLO1991";"Coincident Zooplankton and Phytoplankton Diel Migrations in a High Mountain Lake (La Caldera, Sierra-Nevada, Spain)";"CARRILLO,P.;SANCHEZCASTILLO,P.;CRUZPIZARRO,L.";"Archiv Fur Hydrobiologie";1991;"122";"1";57,00;"67";"Correo"
"NA";"Cluck1991";"La Costa del Sol et la Sierra Nevada (Espagne) en ete 1990.";"Cluck,P.";"Cercle des Lepidopteristes de Belgique Bulletin";1991;"20";"03-Apr";50,00;"57";"Journal sin publicaciones en website"
"Facil acceso";"Cruz-Pizarro1991";"Top-down regulation under different species-specific and size-structure grazer assemblages in an oligotrophic lake.";"Cruz-Pizarro,L.;Carrillo,P.";"Memorie dell'Istituto Italiano di Idrobiologia Dott Marco de Marchi";1991;"48";" ";23,00;"37";
"Facil acceso";"Sanchez-Ortega1991";"The life cycle of Perla marginata and Dinocras cephalotes in Sierra Nevada (Granada, Spain) (Plecoptera: Perlidae).";"Sanchez-Ortega,A.;Alba-Tercedor,J.";" ";1991;" ";" ";501,00;" ";"Correo"
"NA";"Travesi Ydanez1994";"Mariposas de Sierra Nevada.";"Travesi Ydanez,Roberto";"Quercus";1994;"95";" ";22,00;"27";"dialnet solo tiene archivos de Quercus desde 1998"
"Facil acceso";"Bermejo-Orantes1995";"Morphological variability of Apis mellifera iberica in different apiaries of southern Spain";"Bermejo-Orantes,F. J.;Garcia-Fernandez,P.";"Journal of Apicultural Research";1995;"34";"1";23,00;"30";"Correo"
"NA";"Haeseler1995";"Nest breaking, theft of provisions and brood parasitism in the digger wasp Ammophila hungarica Mocsary 1883 (Hymenoptera, Sphecidae)";"Haeseler,V.";"Communications of the German Society for General and Applied Entomonology, Vol 9 no 4-6, September 1995";1995;"9";"04-jun";603,00;"615";"No encontrado, includo accediendo a los supuestos volúmenes (link)"
"NA";"Jutzeler1995";"Observations in nature and breeding of Pseudochazara hippolyte williamsi (Romei, 1927) and Erebia hispania hispania (Butler, 1868) from Sierra Nevada (Andalusia, southern Spain) (Lepidoptera: Nymphalidae, Satyrinae)";"Jutzeler,David;De Bros,Emmanuel";"Linneana Belgica";1995;"15";"4";173,00;"181";"Web del journal no encontrada"
"Facil acceso";"ORANTESBERMEJO1995";"Morphological Variability of Apis-Mellifera-Iberica in Different Apiaries of Southern Spain";"ORANTESBERMEJO,FJ;GARCIAFERNANDEZ,P.";"Journal of Apicultural Research";1995;"34";"1";23,00;"30";"Correo"
"Facil acceso";"TOTH1995";"Respiratory Electron-Transport System (Ets)-Activity of the Plankton and Biofilm in the High-Mountain Lake La Caldera (Sierra-Nevada, Spain)";"TOTH,LG;CRUZPIZARRO,L.";"Archiv Fur Hydrobiologie";1995;"135";"1";65,00;"78";"Correo"
