"Status";"File";"TitlePrimary";"AuthorsPrimary";"PeriodicalFull";"PubYear";"Volume";"Issue";"StartPage";"OtherPages";"Comment"
"NA";"Lacourt1973";"Note sur quelques hymenopteres tenthredoides captures dans la Sierra-Nevada (Espagne), avec description d'une nouvelle espece du genre Tenthredo L.";"Lacourt,J.";"Bulletin Soc Ent France";1973;"78";"07-Aug";289,00;"293";"Volumen no disponible en web"
"Sin";"LOEFFLER1973";"Harpacticoids Crustacea Copepoda of the Mountain Waters in Andalusia Sierra-Nevada Spain";"Loeffler,H.";"Oesterreichische Akademie der Wissenschaften Mathematisch-Naturwissenschaftliche Klasse Sitzungsberichte Abteilung I";1973;"181";"07-oct";191,00;"195";
"Sin";"Pulawski1973";"Les Tachysphex Kohl (Hym., Sphecidae) de la region palearctique occidentale et centrale.";"Pulawski,W.";" ";1973;" ";" ";464,00;" ";
"Facil acceso";"Ruiz Bustos1973";"Datos sobre la alimentaciOn del Bubo bubo y determinacion de micromamiferos en Sierra Nevada mediante egagropilas.";"Ruiz Bustos,A.;Camacho Munoz,I.";"Cuadernos Cienc biol";1973;"2";"2";57,00;"61";"Correo"
"Sin";"Villar Del Fresno1973";"[Phytochemical study of Aconitum lycoctonum from Sierra Nevada. I. Quantitative determination of the alkaloid content].";"Villar Del Fresno,A.;Cabo Torres,J.";"Bollettino chimico farmaceutico";1973;"112";"12";839,00;"842";
"Sin";"Holzel1974";"Ein neuer trichterbauender Ameisenli we aus Sudwesteuropa (Planipenna).";"Holzel,H.";"Nachrichtenblatt bayer Ent";1974;"23";"5";81,00;"85";
"NA";"Jeanne1974";"Carabiques nouveaux (5.";"Jeanne,C.";"Bulletin Soc Ent France";1974;"79";"03-Apr";66,00;"71";"Volumen no disponible en web"
"Sin";"MARTINEZ-SILVESTRE1974";"Study of the Diatom Flora of the Alpine Lake Aguas-Verdes Sierra-Nevada Granada Spain by Light and Electron Microscopy";"Martinez-Silvestre R";" ";1974;" ";" ";135,00;"NA";"Correo"
"NA";"WEISE1974";"The Species of Isomira Coleoptera Alleculidae of Middle Europe and Places Situated in the Mediterranean Sea";"Weise,E.";"Entomologische Blaetter fuer Biologie und Systematik der Kaefer";1974;"70";"2";65,00;"128";"Volumens up to 1923 in the website"
"NA";"BAUDIERE1975";"Oro Mediterranean Groupings in the Eastern Pyrenees and their Relation to Similar Groups in the Sierra-Nevada";"Baudiere,A.;Serve,L.";" ";1975;" ";" ";468,00;"NA";"Correo"
"Sin";"BEAUCOURNU1975b";"A New Flea for the Iberian Fauna Peromyscopsylla-Spectabilis-Viatrix New-Subspecies Siphonaptera Leptopsyllidae";"Beaucournu J-C";"Entomologiste (Paris)";1975;"31";"6";227,00;"230";
"NA";"Beaucournu1975";"Une puce nouvelle de la faune iberique Peromyscopsylla spectabilis viatrix ssp. nova (Siphon. Leptopsyllidae).";"Beaucournu,J. -C";"Entomologiste";1975;"31";"6";227,00;"230";"Volumen no disponible en wen"
"NA";"Dahlgren1975";"Zur Taxonomie der Gattungen Rhagonycha, Pseudocratosilis und Cratosilis (Col. Cantharidae).";"Dahlgren,G.";"Entomologische Blaetter fuer Biologie und Systematik der Kaefer";1975;"71";"2";100,00;"112";"Volumens up to 1923 in the website"
"NA";"Fernandez Rubio1975";"Catalogo de los ropaloceros de Sierra Nevada (Grenada).";"Fernandez Rubio,F.";" ";1975;" ";" ";176,00;" ";"Revista: Real Sociedad Española de Historia Natural. Volumen extraordinario del primer centenario (1871-1971)"
"NA";"GOZMANY1975";"New Symmocid Species (Lepidoptera) and Description of an Unknown Abdominal Organ";"GOZMANY,LA";"Acta Zoologica Academiae Scientiarum Hungaricae";1975;"21";"03-Apr";263,00;"269";"Volumens online started in 1994 (link)"
"Sin";"Harz1975";"Die Orthopteren Europas 2.";"Harz,K.";"Series Ent";1975;"11";" ";1,00;"939";
"Sin";"MARTINEZ-SILVESTRE1975";"1st Report on the Limnology of the Alpine Lake La-Caldera in the Penibetic Mountains Sierra-Nevada Granada Spain";"Martinez-Silvestre R";" ";1975;" ";" ";1139,00;"NA";"Correo"
"Facil acceso";"PARDO ALCAIDE1975b";"Studies on Meloidae Coleoptera Part 24 a New Species of Mylabris Mylabris-Platai New-Species from the Sierra-Nevada Spain";"Pardo Alcaide,A.";"Cuadernos de Ciencias Biologicas Universidad de Granada";1975;"4";" ";45,00;"50";"Correo"
"Facil acceso";"Pardo Alcaide1975";"Estudios sobre Meloidae (Coleoptera). 24. Una neuva especie de Mylabris Fabricius (Mylabris platai n. sp.) de Sierra Nevada.";"Pardo Alcaide,A.";"Cuadernos Cienc biol";1975;"4";"1";45,00;"48";"Correo"
"NA";"DE WORMS1976";"Plebicula-Golgus and Other Butterflies in the Sierra-Nevada Spain July 1975";"De Worms,C. G. M.";"Entomologist's Record and Journal of Variation";1976;"88";"3";59,00;"63";"Año no disponible"
"Facil acceso";"JIMENEZ GUIRADO1976";"Soil Nematodes in the Sierra-Nevada of Granada Spain and Adjacent Valleys 1. Antecedents and Catalog of Genera and Species Previously Cited";"Jimenez Guirado,D.";"Cuadernos de Ciencias Biologicas Universidad de Granada";1976;"5";" ";35,00;"46";"Correo"
"Facil acceso";"JIMENEZ GUIRADO1976b";"Soil Nematodes in the Sierra-Nevada of Granada Spain and Adjacent Valleys 2. Results of a Preliminary Sampling";"Jimenez Guirado,D.";"Cuadernos de Ciencias Biologicas Universidad de Granada";1976;"5";" ";47,00;"52";"Correo"
"Facil acceso";"PASCUAL1976";"Ctenodecticus-Major New-Species from Sierra-Nevada Spain Orthoptera Tettigoniidae";"Pascual,F.";"Cuadernos de Ciencias Biologicas Universidad de Granada";1976;"5";" ";83,00;"86";"Correo"
"NA";"Vaillant1976";"Psychodidae - Psychodinae [continuing].";"Vaillant,F.";"Fliegen palaearkt Reg (D)";1976;"9";"313";183,00;"206";"Journal not found"
"Facil acceso";"MARTINEZ1977";"Phyto Plankton Species Biomass and Diversity in Lake La-Caldera Sierra-Nevada Granada Spain";"Martinez,R.";"Acta Hydrobiologica";1977;"19";"2";95,00;"108";"Correo"
"Sin";"STEINMANN1977";"A Revision of the Genus Aborolabis Dermaptera Carcinophoridae";"Steinmann,H.";"EOS-Revista Espanola de Entomologia";1977;"53";"01-Apr";213,00;"222";
"NA";"SURINACH1977";"Determination of Root Under Sierra-Nevada (Spain) by Numerical Inversion of Seismic Data";"SURINACH,E.;UDIAS,A.";"Transactions-American Geophysical Union";1977;"58";"9";911,00;"911";"Articulo no encontrado en la web del journal"
"NA";"TORRESROLDAN1977";"Presence of Calcium Silicates and Seapolite Banded Rocks in Alpujarrid Formations in Sw of Sierra-Nevada (S of Spain) - Geological Significance";"TORRESROLDAN,RL";"Comptes Rendus Hebdomadaires Des Seances De L Academie Des Sciences Serie D";1977;"284";"17";1643,00;"1645";"Correo"
"NA";"VAILLANT1977";"Thaumaleidae from Europe [Diptera]";"VAILLANT,F.";"Annales de la Societe Entomologique de France";1977;"13";"4";695,00;"710";"Journal online desde 2002"
"Facil acceso";"PASCUAL1978d";"Description of a New Species Ctenodecticus-Granatensis New-Species from the Sierra-Nevada Spain Orthoptera Tettigoniidae Decticinae";"Pascual,F.";"Bulletin Zoologisch Museum Universiteit van Amsterdam";1978;"6";"14";105,00;"108";"Correo"
"Facil acceso";"PASCUAL1978e";"Description of a New Species Omocestus-Ilorenteae New-Species from the Sierra-Nevada Spain Orthoptera Acrididae Gomphocerinae";"Pascual,F.";"EOS-Revista Espanola de Entomologia";1978;"52";"01-Apr";159,00;"166";"Correo"
"Facil acceso";"PASCUAL1978f";"Chorthippus-Nevadensis New-Species from the Sierra-Nevada Spain Orthoptera Acrididae";"Pascual,F.";"EOS-Revista Espanola de Entomologia";1978;"52";"01-Apr";167,00;"174";"Correo"
"Facil acceso";"Pascual1976[1978]";"Descripcion de una neuva especie de Omocestus Bolivar, 1878, de Sierra Nevada, Espana (Orth., Acrididae, Gomphocerinae).";"Pascual,F.";"Eos-Revista Espanola de Entomologia";1978;"52";" ";159,00;"165";"Correo"
"Facil acceso";"Pascual1976[1978]b";"Descripcion de una nueva especie de Chorthippus Fieber, 1852, de Sierra Nevada, Espana (Orth., Acrididae).";"Pascual,F.";"Eos-Revista Espanola de Entomologia";1978;"52";" ";167,00;"173";"Correo"
"Facil acceso";"Pascual1978";"Estudio preliminar de los ortopteros de Sierra Nevada. 2: Claves para la determinacion de especies.";"Pascual,F.";"Trabajos y Monografias del Departamento de Zoologia Universidad Granada Nueva Serie";1978;"1";"1";1,00;"63";"Correo"
"Facil acceso";"Pascual1978b";"Estudio preliminar de los ortopteros de Sierra Nevada, 3: Distribucion ecologica.";"Pascual,F.";"Trabajos y Monografias del Departamento de Zoologia Universidad Granada Nueva Serie";1978;"1";"2";65,00;"121";"Correo"
"NA";"SCHMIDT-KOEHL1978";"Butterfly Observations in Morocco Middle Atlas and in Southern Spain Sierra-Nevada in July August 1977 Insecta Lepidoptera";"Schmidt-Koehl W";"Mitteilungen der Entomologischen Gesellschaft Basel";1978;"28";"2";25,00;"50";"No encontrado"
"NA";"Schmidt-Koehl1978b";"Tagfalterbeobachtungen in Marokko (Mittlererer Atlas, Hoher Atlas) und in Suedspanien (Sierra Nevada) im Juli und August 1977 (Insecta, Lepidoptera).";"Schmidt-Koehl,W.";"Mitteilungen der Entomologischen Gesellschaft Basel";1978;"28";"2";24,00;"50";"El mismo que el 992 pero en alemán?"
"NA";"Wagner1979";"Zwei neue Psychodiden (Diptera: Psychodidae) aus Sudeuropa.";"Wagner,R.";"Entomologische Zeitschrift";1979;"89";"17";193,00;"196";"Journal not found"
"Facil acceso";"Calle1980";"Noctuidae recolectados en Sierra Nevada (Granada). (Contribucion a los Noctuidae espanoles no. 26).";"Calle,J.";"SHILAP Revista de Lepidopterologia";1980;"8";"3";201,00;"202";"Correo"
"NA";"LACOURT1980";"Notes on the Atra Group of the Genus Tenthredo Hymenoptera Tenthridinidae with a Description of 2 New Taxa";"Lacourt,J.";"Nouvelle Revue d'Entomologie";1980;"10";"2";189,00;"200";"PDF no disponible en web"
"Facil acceso";"MARTINEZ1980";"Seasonal Variation of Phyto Plankton Biomass and Photosynthesis in the High Mountain Lake La-Caldera Sierra-Nevada Spain";"Martinez,R.";"Dokulil, M., H.Metz and D.Jewson (Ed.).Developments in Hydrobiology, Vol.3.Shallow Lakes: Contributions to their Limnology; Meeting, Illmitz, Austria, Sept.23-30, 1979.Xii+212p.W.Junk Bv Publishers: the Hague, Netherlands; Boston, Mass, Usa.Illus";1980;" ";" ";;"120";"Correo"
"Facil acceso";"Ruiz Bustos1977-1978[1980] ";"Datos sobre Microtus nivalis (Martens, 1842) actual y fosil en Granada (Andalucia).";"Ruiz Bustos,A.;Padial,J.";"Cuadernos De Ciencias Biologicas Universidad De Granada";1980;"06-jul";" ";87,00;"94";"Correo"
"NA";"SEITZ1980";"Chemosystematology Today - Survey Represented by some Examples of the Angiosperms Families Ranunculaceae, Onagraceae and Valerianaceae as Well as from the Group of Lichens";"SEITZ,W.";"Berichte Der Deutschen Botanischen Gesellschaft";1980;"92";"02-mar";519,00;"534";"Volumen no encontrado en la web del journal"
"NA";"LERAUT1981";"Study of Scopariineae Lepidoptera Pyralidae 2 New Taxa from the Mediterranean Region";"Leraut,P.";"Alexanor";1981;"12";"3";117,00;"120";"Journal no encontrado, articulo en scholar tampoco"
"Facil acceso";"PASCUAL1981";"Description of a Male Eumigus-Rubioi Orthoptera Pamphagidae";"Pascual,F.";"EOS-Revista Espanola de Entomologia";1981;"57";"01-Apr";195,00;"200";"Correo"
"Facil acceso";"ALBA-TERCEDOR1984";"Presence of the Genus Torleya Insecta Ephemeroptera Ephemerellidae on the Iberian Peninsula";"Alba-Tercedor J;Sanchez-Ortega a";"Boletin de la Real Sociedad Espanola de Historia Natural Seccion Biologica";1982;"80";"01-feb";81,00;"88";"Correo"
"NA";"PACE1982";"Some Therian and Maghrebian Species of Atheta of the Subgenus Microdota Coleoptera Staphylinidae 36th Contribution to the Aleocharinae";"Pace,R.";"Giornale Italiano di Entomologia";1982;"2";"1";73,00;"80";"Solo encontrado el abstract en el journal (link)"
"NA";"Triberti1982";"Notes on Parornix szoecsi Gozmany (Gracillariidae) and allied species, with description of P. incerta, n. sp.";"Triberti,P.";"Nota Lepidopterologica";1982;"5";"1";37,00;"42";"Contents of published volumes (from volume 26 onwards incl. pdf reprints)"
"NA";"T HART1982";"The White Flowered European Sedum Species 2. Cyto Taxonomic Notes on Sedum-Album and Sedum-Gypsicolum";"Van Den Berg,A. J. J.";"Proceedings of the Koninklijke Nederlandse Akademie van Wetenschappen Series C Biological and Medical Sciences";1982;"85";"4";677,00;"689";"Not available for copyright reasons and KNAW pages no offering it either"
"NA";"Rasmont1983";"Catalogue commente des bourdons de la region ouest-palearctique (Hymenoptera, Apoidea, Apidae).";"Rasmont,P.";"Notes Fauniques de Gembloux";1983;" ";" ";1,00;"71";"Volumen no encontrado"
"NA";"Perez-Chiscano1984";"Observaciones ornitologicas en la zona alta de Sierra Nevada.";"Perez-Chiscano,J. L.;de Lope Rebollo,F.";"Alytes (Merida)";1984;"2";" ";160,00;"170";"Pdf no disponible en la web del journal (link)"
"NA";"STEINMANN1984";"The Dermaptera Material in the Museo-Civico Di-Storia-Naturale-Di-Verona (Italy)";"STEINMANN,H.";"Acta Zoologica Hungarica";1984;"30";"01-feb";189,00;"204";"Online a partir de 1994 en la web del journal (link)"
