"Reference.Type"	"Authors..Primary"	"Title.Primary"	"Periodical.Full"	"Periodical.Abbrev"	"Pub.Year"	"Pub.Date.Free.From"	"Volume"	"Issue"	"Start.Page"	"Other.Pages"	"Keywords"	"Abstract"	"Notes"	"Personal.Notes"	"Authors..Secondary"	"Title.Secondary"	"Edition"	"Publisher"	"Place.Of.Publication"	"Authors..Tertiary"	"Authors..Quaternary"	"Authors..Quinary"	"Title..Tertiary"	"ISSN.ISBN"	"Availability"	"Author.Address"	"Accession.Number"	"Language"	"Classification"	"Sub.file.Database"	"Original.Foreign.Title"	"Links"	"URL"	"DOI"	"PMID"	"PMCID"	"Call.Number"	"Database"	"Data.Source"	"Identifying.Phrase"	"Retrieved.Date"	"Shortened.Title"	"User.1"	"User.2"	"User.3"	"User.4"	"User.5"	"User.6"	"User.7"	"User.8"	"User.9"	"User.10"	"User.11"	"User.12"	"User.13"	"User.14"	"User.15"	"aut"	"key"
"Journal Article"	"Chueca,F. E."	"Plant Species and Communities of the Calcareous Region of the Sierra-Nevada Plants from Dornajo and Treveneque"	"Boletim da Sociedade Broteriana"	" "	1973	"1973/74"	"47"	"SUPPL"	"179"	"224"	"Life Sciences & Biomedicine - Other Topics;Environmental Sciences & Ecology"	" "	"PT: J"	NA	""	" "	" "	" "	" "	NA	NA	NA	NA	"0081-0657 ER"	NA	" "	NA	NA	NA	"DT: Article"	" "	NA	NA	" "	NA	NA	NA	NA	"Web Of Knowledge"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Chueca,F. E."	11
"Journal Article"	"Lacourt,J."	"Note sur quelques hymenopteres tenthredoides captures dans la Sierra-Nevada (Espagne), avec description d'une nouvelle espece du genre Tenthredo L."	"Bulletin Soc Ent France"	" "	1973	"1973"	"78"	"07-Aug"	"289"	"293"	"Environmental Sciences & Ecology;Zoology;Tenthredinoidea [Population study / / ] [Spain / / Sierra Nevada]."	" "	"PT: J BD: Systematics; Nomenclature; New taxa; Taxonomy; Ecology; Land zones;    Palaearctic region; Eurasia; Europe; UT: ZOOREC:ZOOR11000011627"	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	" "	NA	" "	NA	NA	NA	"DT: Article"	" "	" "	NA	NA	NA	NA	NA	NA	"Web Of Knowledge"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Lacourt,J."	12
"Journal Article"	"Loeffler,H."	"Harpacticoids Crustacea Copepoda of the Mountain Waters in Andalusia Sierra-Nevada Spain"	"Oesterreichische Akademie der Wissenschaften Mathematisch-Naturwissenschaftliche Klasse Sitzungsberichte Abteilung I"	" "	1973	" "	"181"	"07-Oct"	"191"	"195"	"Life Sciences & Biomedicine - Other Topics;Environmental Sciences & Ecology"	" "	"PT: J"	NA	""	" "	" "	" "	" "	NA	NA	NA	NA	"0029-8808 ER"	NA	" "	NA	NA	NA	"DT: Article"	" "	NA	NA	" "	NA	NA	NA	NA	"Web Of Knowledge"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Loeffler,H."	13
"Book, Whole"	"Pulawski,W."	"Les Tachysphex Kohl (Hym., Sphecidae) de la region palearctique occidentale et centrale."	" "	" "	1973	"1973"	" "	" "	"464"	" "	"Developmental Biology;Zoology;Evolutionary Biology;Environmental Sciences & Ecology;Tachysphex [Life cycle / / ] [Phylogeny / / ] [Ecology / / ] [Palaearctic region / / ]."	" "	"PT: B BD: Systematics; Nomenclature; New taxa; Diagnosis; Synonymy; Taxonomy;    Taxonomic position; Status; Key; Life cycle and development; Evolution;    Ecology; Land zones; UT: ZOOREC:ZOOR11000000268"	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	" "	NA	" "	NA	NA	NA	"DT: Book"	" "	" "	NA	NA	NA	NA	NA	NA	"Web Of Knowledge"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Pulawski,W."	14
"Journal Article"	"Ruiz Bustos,A.;Camacho Munoz,I."	"Datos sobre la alimentaciOn del Bubo bubo y determinacion de micromamiferos en Sierra Nevada mediante egagropilas."	"Cuadernos Cienc biol"	" "	1973	"1973"	"2"	"2"	"57"	"61"	"Environmental Sciences & Ecology;Zoology;Rodentia [Predators / / Bubo bubo (Aves);Raptor pellet] [Spain / / Sierra Nevada;Raptor pellet]."	" "	"PT: J BD: Ecology; Land zones; Palaearctic region; Eurasia; Europe; UT: ZOOREC:ZOOR11300015134"	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	" "	NA	" "	NA	NA	NA	"DT: Article"	" "	" "	NA	NA	NA	NA	NA	NA	"Web Of Knowledge"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Ruiz Bustos,A.;Camacho Munoz,I."	15
"Journal Article"	"Villar Del Fresno,A.;Cabo Torres,J."	"[Phytochemical study of Aconitum lycoctonum from Sierra Nevada. I. Quantitative determination of the alkaloid content]."	"Bollettino chimico farmaceutico"	"Boll.Chim.Farm."	1973	"1973 Dec"	"112"	"12"	"839"	"842"	"Plant Sciences;Environmental Sciences & Ecology (provided by Thomson Reuters)"	" "	"PT: J; UT: MEDLINE:4793302"	NA	NA	NA	NA	NA	"ITALY"	NA	NA	NA	NA	"Jun-48"	NA	" "	NA	NA	NA	"DT: Journal Article"	"Estudio fitoquimico del Aconitum lycoctonum de Sierra Nevada. I. Determinacion cuantitativa de su contenido alcaloidico"	NA	NA	" "	NA	NA	NA	NA	"Web Of Knowledge"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Villar Del Fresno,A.;Cabo Torres,J."	16
"Journal Article"	"Holzel,H."	"Ein neuer trichterbauender Ameisenli we aus Sudwesteuropa (Planipenna)."	"Nachrichtenblatt bayer Ent"	" "	1974	"1974"	"23"	"5"	"81"	"85"	"Zoology"	" "	"PT: J BD: Systematics; Nomenclature; New taxa; Taxonomy; Key; UT: ZOOREC:ZOOR11100028442"	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	" "	NA	" "	NA	NA	NA	"DT: Article"	" "	" "	NA	NA	NA	NA	NA	NA	"Web Of Knowledge"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Holzel,H."	17
"Journal Article"	"Jeanne,C."	"Carabiques nouveaux (5."	"Bulletin Soc Ent France"	" "	1974	"1974"	"79"	"03-Apr"	"66"	"71"	"Zoology"	" "	"PT: J BD: Systematics; Nomenclature; New taxa; Taxonomy; Key; UT: ZOOREC:ZOOR11100012517"	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	" "	NA	" "	NA	NA	NA	"DT: Article"	" "	" "	NA	NA	NA	NA	NA	NA	"Web Of Knowledge"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Jeanne,C."	18
"Book, Whole"	"Martinez-Silvestre R"	"Study of the Diatom Flora of the Alpine Lake Aguas-Verdes Sierra-Nevada Granada Spain by Light and Electron Microscopy"	" "	" "	1974	" "	" "	" "	"135"	NA	"Life Sciences & Biomedicine - Other Topics;Environmental Sciences & Ecology;Marine & Freshwater Biology;Science & Technology - Other Topics ER"	" "	"PT: B"	NA	""	" "	" "	" "	" "	NA	NA	NA	NA	" "	NA	" "	NA	NA	NA	"DT: Book"	" "	NA	NA	" "	NA	NA	NA	NA	"Web Of Knowledge"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Martinez-Silvestre R"	19
"Journal Article"	"Weise,E."	"The Species of Isomira Coleoptera Alleculidae of Middle Europe and Places Situated in the Mediterranean Sea"	"Entomologische Blaetter fuer Biologie und Systematik der Kaefer"	" "	1974	" "	"70"	"2"	"65"	"128"	"Anatomy & Morphology;Reproductive Biology;Life Sciences & Biomedicine - Other Topics"	" "	"PT: J"	NA	""	" "	" "	" "	" "	NA	NA	NA	NA	"0013-8835 ER"	NA	" "	NA	NA	NA	"DT: Article"	" "	NA	NA	" "	NA	NA	NA	NA	"Web Of Knowledge"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Weise,E."	20
