"key"	"Authors..Primary"	"Title.Primary"	"Pub.Year"	"Periodical.Full"	"Periodical.Abbrev"	"Keywords"
194	"Arroyo Nombela,J. J.;Rodriguez Murcia,C.;Abaigar,T.;Vericad,J. R."	"Cytogenetic Analysis Gtg Cbg and nor Bands of a Wild Boar Population Sus-Scrofa-Scrofa with Chromosomal Polymorphism in the South-East of Spain"	1990	"Genetics Selection Evolution (Paris)"	" "	"Agriculture;Cell Biology;Genetics & Heredity"
195	"Avila,J. M.;Pascual,F."	"Space-Temporal Distribution Models of Dung Scarabs of Sierra Nevada Granada Spain Coleoptera Scarabaeoidea"	1990	"Elytron (Barcelona)"	" "	"Meteorology & Atmospheric Sciences;Environmental Sciences & Ecology;Mathematical & Computational Biology;Physiology"
196	"Blanca,G.;Clemente Munoz,M.;Hernandez Bermejo,J. E.;Matilla,A.;Molero Mesa,J.;Pujadas,A."	"Restoration Project for the Jardin De Altura De Sierra Nevada Sierra Nevada High Altitude Garden Granada Spain"	1990	" "	" "	"Plant Sciences;Biodiversity & Conservation;Environmental Sciences & Ecology"
197	"Blanca,G.;Molero Mesa,J."	"Threat of Extinction in Sierra Nevada Granada Spain"	1990	" "	" "	"Life Sciences & Biomedicine - Other Topics;Plant Sciences;Biodiversity & Conservation;Environmental Sciences & Ecology"
198	"Cacas,J. J.;Laville,H."	"Micropsectra seguyi, n. sp., du groupe attenuata Reiss (Diptera: Chironomidae) de la Sierra Nevada (Espagne)."	1990	"Annales de la Societe Entomologique de France"	"Ann.Soc.Entomol.Fr."	"Zoology;Micropsectra seguyi [Spain / / Sierra Nevada;New species]."
199	"CARRILLO,P.;CRUZPIZARRO,L.;SANCHEZCASTILLO,P."	"Analysis of Phytoplankton-Zooplankton Relationships in an Oligotrophic Lake Under Natural and Manipulated Conditions"	1990	"Hydrobiologia"	"Hydrobiologia"	"Marine & Freshwater Biology ER"
200	"CASAS,JJ;LAVILLE,H."	"Micropsectra-Seguyi, a New Species of the Attenuata Reiss Group (Diptera, Chironomidae) from Sierra-Nevada (Spain)"	1990	"Annales de la Societe Entomologique de France"	"Ann.Soc.Entomol.Fr."	"Entomology ER"
201	"Cebolla Lozano,C.;Rivas Ponce,M. A."	"Considerations on Festuca-Baetica in Sierra Nevada Granada Spain"	1990	"Lagascalia"	" "	"Life Sciences & Biomedicine - Other Topics;Anatomy & Morphology"
202	"CLARET,A.;RODRIGUEZ,E.;GARCIA,JM"	"Comparison between Standard Evolution Models for High Amplitude Delta-Sct Stars"	1990	"Revista Mexicana De Astronomia Y Astrofisica"	" "	"STARS-DELTA SCUTI;STARS EVOLUTION;STELLAR;Astronomy & Astrophysics ER"
203	"Dufour,C."	"Tipula-Nevada New-Species and Tipula-Invenusta-Microinvenusta New-Subspecies from the Heights of Sierra Nevada in Spain Diptera Tipulidae"	1990	"Mitteilungen der Schweizerischen Entomologischen Gesellschaft"	" "	"Life Sciences & Biomedicine - Other Topics;Anatomy & Morphology"
204	"Dufour,C.;Oosterbroek,P."	"Tipula-Vaillanti-Andalucia New-Subspecies from Southern Spain Diptera Tipulidae"	1990	"Mitteilungen der Schweizerischen Entomologischen Gesellschaft"	" "	"Life Sciences & Biomedicine - Other Topics;Anatomy & Morphology;Reproductive Biology"
205	"ECHEVARRIA,F.;CARRILLO,P.;JIMENEZ,F.;SANCHEZCASTILLO,P.;CRUZPIZARRO,L.;RODRIGUEZ,J."	"The Size Abundance Distribution and Taxonomic Composition of Plankton in an Oligotrophic, High Mountain Lake (La-Caldera, Sierra-Nevada, Spain)"	1990	"Journal of Plankton Research"	"J.Plankton Res."	"Marine & Freshwater Biology;Oceanography ER"
206	"Gomez,J. M.;Zamora,R.;Tinaut,A."	"Pollination of Ptilotrichum spinosum by ants: experimental study of the quality component."	1990	" "	" "	"Environmental Sciences & Ecology;Zoology;Formicidae [Pollination / / Ptilotrichum spinosum;Observations] [Spain / / Sierra Nevada;Pollination observations]."
207	"Gomez,J. M.;Zamora,R.;Tinaut,A."	"Pollination of Ptilotrichum spinosum by ants: quantity component."	1990	" "	" "	"Nutrition & Dietetics;Zoology;Environmental Sciences & Ecology;Formicidae [Food plants / / Ptilotrichum spinosum;Pollinator abundance & flower visitation;pollination frequency] [Foraging / / Flower visitation rate;implications for pollination] [Pollination / / ] [Spain / / Sierra Nevada;Pollination quantification]."
208	"Haenni J-P"	"Note on the Presence of Chorisops-Tunisiae New-Record Beck. Diptera Stratiomyidae in Europe"	1990	"Bulletin de la Societe Neuchateloise des Sciences Naturelles"	"Bull.Soc.Neuchatel.Sci.Nat."	"Life Sciences & Biomedicine - Other Topics;Anatomy & Morphology"
209	"LEBRETON,P.;LARACINEPITTET,C.;BAYET,C.;LAURANSON,J."	"Polyphenol Variability and Systematics of the Scots Pine (Pinus-Sylvestris L)"	1990	"Annales des Sciences Forestieres"	"Ann.Sci.For."	"Forestry ER"
210	"Martinez,T."	"Regimen alimentario de la cabra montes (Capra pyrenaica) en la zona alpina de Sierra Nevada durante los meses de Julio y Agosto."	1990	"Ecologia (Madrid)"	" "	"Nutrition & Dietetics;Zoology;Environmental Sciences & Ecology;Capra pyrenaica [Food plants / / Composition] [Mountain habitat / / Food plants composition] [Spain / / Sierra Nevada]."
211	"Passerin d'Entreves,P."	"Two new species of Scythris (Lepidoptera: Scythrididae) from Spain."	1990	"Entomologist's Gazette"	"Entomol.Gaz."	"Zoology;Scythris nevadensis;Scythris veletae [Spain / / Granada;Sierra Nevada;New species]."
212	"RODRIGUEZ,J.;ECHEVARRIA,F.;JIMENEZGOMEZ,F."	"Physiological and Ecological Scalings of Body Size in an Oligotrophic, High Mountain Lake (La Caldera, Sierra-Nevada, Spain)"	1990	"Journal of Plankton Research"	"J.Plankton Res."	"Marine & Freshwater Biology;Oceanography ER"
213	"Sanchez-Ortega,A.;Alba-Tercedor,J."	"Los plecopteros de Sierra Nevada (Granada, Espana)."	1990	"Zoologica Baetica"	"Zool.Baetica"	"Zoology;Plecoptera [Spain / / Granada;Sierra Nevada;Faunal list;distribution & keys]."
214	"SANTOS,J.;SENTIS,C.;ROBLEDO,M.;FERNANDEZPIQUERAS,J."	"Nucleolar Dominance in Interracial Hybrids of the Steropleurus-Martorelli Complex"	1990	"Genome"	"Genome"	"Biotechnology & Applied Microbiology;Genetics & Heredity ER"
215	"Schippmann,U."	"Brachypodium-Boissieri Nyman an Endemic Grass Species of Southern Spain"	1990	"Lagascalia"	" "	"Life Sciences & Biomedicine - Other Topics;Cell Biology;Environmental Sciences & Ecology;Genetics & Heredity;Anatomy & Morphology"
216	"TALAVERA,M.;LOPEZLEON,MD;CABRERO,J.;CAMACHO,JPM"	"Male Germ Line Polysomy in the Grasshopper Chorthippus-Binotatus - Extra Chromosomes are Not Transmitted"	1990	"Genome"	"Genome"	"Biotechnology & Applied Microbiology;Genetics & Heredity ER"
217	"Tinaut,A."	"Teleutomyrmex-Kutteri New-Species a New Species from Sierra Nevada Granada Spain Hymenoptera Formicidae"	1990	"Spixiana"	"Spixiana"	"Life Sciences & Biomedicine - Other Topics;Anatomy & Morphology;Reproductive Biology"
218	"Traugott-Olsen,E."	"Description of a new species of Commophila Hubner, (1825) from Sierra Nevada (Spain) (Lepidoptera: Cochylidae)."	1990	"SHILAP Revista de Lepidopterologia"	" "	"Zoology;Commophila nevadensis [Spain / / Sierra Nevada;New species]."
219	"Wagner,R."	"Neue Wiedemannia-Arten aus der rhynchops-Gruppe (Diptera, Empididae, Clinocerinae)."	1990	"Entomofauna"	"Entomofauna"	"Zoology;Weidemannia dyonysica [Greece / / Agyos Dyonysos;New species]. Wiedemannia nevadensis [Spain / / Sierra Nevada;New species]. Wiedemannia rivulorum [Austria / / Lunz;New species]."
220	"Zamora,R."	"The Fruit Diet of Ring-Ouzels Turdus-Torquatus Wintering in the Sierra Nevada Southeast Spain"	1990	"Alauda"	"Alauda"	"Behavioral Sciences;Meteorology & Atmospheric Sciences;Environmental Sciences & Ecology;Nutrition & Dietetics;Reproductive Biology"
221	"Zamora,R."	"Importancia de los neveros como sustrato de alimentacion para los Passeriformes de alta montana."	1990	"Donana Acta Vertebrata"	" "	"Nutrition & Dietetics;Zoology;Anatomy & Morphology;Environmental Sciences & Ecology;Meteorology & Atmospheric Sciences;Alauda arvensis;Anthus campestris;Emberiza cia;Oenanthe oenanthe;Phoenicurus ochruros [Prey / / Arthropoda;Snow fields importance as feeding substrate;mountain;Spain]. Arthropoda [Size / / Comparisons;significance for avian predators;mountain snow field] [Population density / / Abundance in snow fields;mountain] [Predators / / Passeriformes (Aves);Prey capture rate;snow fields] [Mountain habitat / / ] [Habitat substrate / / Snow substrate;abundance] [Climate and weather / / Snow effect on abundance] [Spain / / Sierra Nevada]. Passeriformes [Diet / / Prey composition;influences;mountain snow fields] [Prey / / Arthropoda;mountain] [Food availability / / Arthropod prey abundance in snow fields;significance] [Food capture / / Arthropod prey capture rate in snow fields;comparisons] [Mountain habitat / / ] [Habitat substrate / / ] [Climate and weather / / Snow effect on arthropod prey abundance] [Spain / / Sierra Nevada]."
222	"ZAMORA,R."	"Observational and Experimental-Study of a Carnivorous Plant - Ant Kleptobiotic Interaction"	1990	"Oikos"	"Oikos"	"DROSERA-ROTUNDIFOLIA;PINGUICULA;INTERMEDIA;Environmental Sciences & Ecology ER"
223	"ZAMORA,R."	"Interspecific Aggression by the Wheatear in a High-Mountain Passerine Community"	1990	"Ornis Scandinavica"	" "	"Zoology ER"
224	"ZAMORA,R."	"Nest-Site Selection of the Common Wheatear in High Mountain Areas of Southeastern Spain"	1990	"Wilson Bulletin"	"Wilson Bull."	"Zoology ER"
225	"ZAMORA,R."	"The Feeding Ecology of a Carnivorous Plant (Pinguicula-Nevadense) - Prey Analysis and Capture Constraints"	1990	"Oecologia"	"Oecologia"	"Environmental Sciences & Ecology ER"
226	"Zamora,R.;Tinaut,A."	"A morphological comparison between prey and kleptoparasitic ants (Formica fusca group) of a carnivorous plant (Pinguicola nevadense, (Linb) Casper, 1962). (Hymenoptera; Lentibulariacea)."	1990	" "	" "	"Anatomy & Morphology;Zoology;Nutrition & Dietetics;Environmental Sciences & Ecology;Formica fusca species group [General morphology / / Morphological comparisons of prey & kleptoparasites of carnivorous plant] [Food robbing / / Kleptoparasites of carnivorous plant;morphological comparisons with prey] [Predators / / Pinguicola nevadense (plant);Prey;morphological comparisons with kleptoparasites] [Spain / / Sierra Nevada;Kleptoparasites & prey of carnivorous plant;morphological comparisons]."
227	"Zamora,Regino"	"Seasonal variation of a passerine community in a Mediterranean high-mountain."	1990	"Ardeola"	" "	"Environmental Sciences & Ecology;Zoology;Passeriformes [Species diversity / / seasonal variation] [Population density / / ] [Mountain habitat / / Species diversity & density] [Spain / / Sierra Nevada;north]."
228	"ZAMOTAJLOV,AS"	"New Palearctic Species of the Ground Beetles of the Tribe Deltomerini (Coleoptera, Carabidae)"	1990	"Zoologichesky Zhurnal"	" "	"Zoology ER"
229	"Alba-Tercedor,J.;Zamora-Munoz,C.;Sanchez-Ortega,A.;Guisasola,I."	"Mayflies and stoneflies from the Rio Monachil (Sierra Nevada, Spain) (Ephemeroptera and Plecoptera)."	1991	" "	" "	"Environmental Sciences & Ecology;Zoology;Marine & Freshwater Biology;Ephemeroptera;Plecoptera [Community structure / / Seasonal changes & pollution effects;mountain stream] [Population dynamics / / Seasonal abundance] [Distribution within habitat / / ] [Stream / / Mountain;community structure & distribution] [Mountain habitat / / ] [Chemical pollution / / Ski resort waste;effects on ecology & distribution] [Spain / / Sierra Nevada;Rio Monachil]."
230	"Avila,J. M."	"Comparative Analysis of Coprophagous Scarabaeoidea Coleoptera in the Faecal Pellets of Rabbit Oryctolagus-Cuniculus and in the Excrements of Other Mammals Preliminary Report"	1991	"EOS-Revista Espanola de Entomologia"	" "	"Life Sciences & Biomedicine - Other Topics;Gastroenterology & Hepatology;Environmental Sciences & Ecology;Physiology"
231	"CARRILLO,P.;SANCHEZCASTILLO,P.;CRUZPIZARRO,L."	"Coincident Zooplankton and Phytoplankton Diel Migrations in a High Mountain Lake (La Caldera, Sierra-Nevada, Spain)"	1991	"Archiv Fur Hydrobiologie"	" "	"VERTICAL-DISTRIBUTION;SEASONAL-VARIATION;HUMIC LAKE;COMMUNITY;PATTERNS;SIZE;Marine & Freshwater Biology ER"
232	"CASAS,JJ;VILCHEZQUERO,A."	"Stempellinella-Reissi Sp-N (Diptera, Chironomidae) from Sierra-Nevada (Southern Spain)"	1991	"Aquatic Insects"	"Aquat.Insects"	"Entomology ER"
233	"CASTRO,A.;MORENOVENTAS,I.;DELAROSA,JD"	"Multistage Crystallization of Tonalitic Enclaves in Granitoid Rocks (Hercynian Belt, Spain) - Implications for Magma Mixing"	1991	"Geologische Rundschau"	"Geol.Rundsch."	"MICROGRANITOID ENCLAVES;PHYSICAL CONSTRAINTS;PLUTONIC ENVIRONMENT;SIERRA-NEVADA;CALIFORNIA;ORIGIN;Geology ER"
234	"Cluck,P."	"La Costa del Sol et la Sierra Nevada (Espagne) en ete 1990."	1991	"Cercle des Lepidopteristes de Belgique Bulletin"	" "	"Zoology;Lepidoptera [Spain / / Costa del Sol & Sierra Nevada;Records]."
235	"Cruz-Pizarro,L.;Carrillo,P."	"Top-down regulation under different species-specific and size-structure grazer assemblages in an oligotrophic lake."	1991	"Memorie dell'Istituto Italiano di Idrobiologia Dott Marco de Marchi"	" "	"Nutrition & Dietetics;Zoology;Environmental Sciences & Ecology;Marine & Freshwater Biology;Crustacea;Rotifera [Protozoan prey / / Phytomastigophorea;Prey population regulation;oligotrophic lake] [Biomass / / ] [Community structure / / ] [Population density / / ] [Lake / / Oligotrophy influence on ecology] [Spain / / Sierra Nevada;La Caldera;ecology]. Phytomastigophorea [Population regulation / / Crustacean & rotiferan predators;oligotrophic lake] [Crustacean predators / / Prey population regulation role] [Rotiferan predators / / ] [Lake / / Oligotrophy influence on ecology] [Spain / / Sierra Nevada;ecology]."
236	"CUEVAS,J."	"Internal Structure of the Adra Nappe (Alpujarride Complex, Betics, Spain)"	1991	"Tectonophysics"	"Tectonophysics"	"EXTENSIONAL COLLAPSE;SHEAR-ZONES;CORDILLERAS;EMPLACEMENT;DEFORMATION;TEMPERATURE;TRANSITION;EVOLUTION;SENSE;FOLDS;Geochemistry & Geophysics ER"
237	"Dufour,C."	"The Identity of Tipula-Saginata Bergroth and Tipula-Obscuriventris Strobl and the Description of Tipula-Leo New-Species Sp. from the Sierra Nevada in Spain Diptera Tipulidae"	1991	"Mitteilungen der Schweizerischen Entomologischen Gesellschaft"	" "	"Life Sciences & Biomedicine - Other Topics;Anatomy & Morphology"
238	"ESCOS,J.;ALADOS,CL"	"Influence of Weather and Population Characteristics of Free-Ranging Spanish Ibex in the Sierra-De-Cazorla-Y-Segura and in the Eastern Sierra-Nevada"	1991	"Mammalia"	"Mammalia"	"UNGULATE POPULATIONS;CAPRA-PYRENAICA;DYNAMICS;DENSITY;BEHAVIOR;SURVIVAL;SPAIN;SHEEP;Zoology ER"
239	"Guisasola,I."	"Mayflies and Stoneflies from the Rio Monachil Sierra Nevada Spain Ephemeroptera and Plecoptera"	1991	" "	" "	"Meteorology & Atmospheric Sciences;Environmental Sciences & Ecology;Marine & Freshwater Biology;Pathology;Physiology;Public, Environmental & Occupational Health;Toxicology"
240	"Sainz-Cantero,C. E.;Alba-Tercedor,J."	"Aquatic Adephaga from Sierra Nevada (Granada, Spain) (Coleoptera: Haliplidae, Gyrinidae, Dytiscidae)"	1991	"Boletin de la Asociacion Espanola de Entomologia"	"Bol.Asoc.Esp.Entomol."	"Life Sciences & Biomedicine - Other Topics;Environmental Sciences & Ecology;Anatomy & Morphology"
241	"Sainz-Cantero,C. E.;Alba-Tercedor,J."	"Aquatic Polyphaga from Sierra Nevada (Granada, Spain) (Coleoptera: Hydraenidae, Hydrophilidae, Elmidae, Dryopidae)"	1991	"Boletin de la Asociacion Espanola de Entomologia"	"Bol.Asoc.Esp.Entomol."	"Life Sciences & Biomedicine - Other Topics;Environmental Sciences & Ecology;Anatomy & Morphology"
242	"Sainz-Cantero,C. E.;Alba-Tercedor,J."	"Los adefagos acuaticos de Sierra Nevada (Granada, Espana): diagnosis y claves de identificacion (Coleoptera, Adephaga: Haliplidae, Gyrinidae, Dytiscidae)."	1991	"Zoologica Baetica"	"Zool.Baetica"	"Zoology;Dytiscidae;Gyrinidae;Haliplidae [Checklists / / Sierra Nevada] [Spain / / Keys & checklist]."
243	"Sanchez-Ortega a;Alba-Tercedor J"	"The Life Cycle of Perla-Marginata and Dinocras-Cephalotes in Sierra Nevada Granada Spain Plecoptera Perlidae"	1991	" "	" "	"Meteorology & Atmospheric Sciences;Developmental Biology;Environmental Sciences & Ecology;Marine & Freshwater Biology;Anatomy & Morphology;Physiology;Reproductive Biology;Life Sciences & Biomedicine - Other Topics"
244	"Sanchez-Ortega,A.;Alba-Tercedor,J."	"The life cycle of Perla marginata and Dinocras cephalotes in Sierra Nevada (Granada, Spain) (Plecoptera: Perlidae)."	1991	" "	" "	"Developmental Biology;Zoology;Entomology;Dinocras cephalotes;Perla marginata [Life cycle / / Nymphal development significance;comparative study] [Nymphal development / / Life cycle implications] [Growth / / Nymph] [Spain / / Granada;Sierra Nevada]."
245	"Zamora,R."	"The selection of song perches among high-mountain passerines of southeastern Spain."	1991	"Oekologie der Voegel"	" "	"Behavioral Sciences;Zoology;Environmental Sciences & Ecology;Passeriformes [Acoustic signals / / Song perches selection;comparative study;high mountain area] [Habitat utilization / / ] [Mountain habitat / / ] [Spain / / Sierra Nevada]."
246	"ZAMORA,R."	"Avian-Habitat Relationships in a Mediterranean High Mountain"	1991	"Revue D Ecologie-La Terre Et La Vie"	" "	"DISCRIMINANT-ANALYSIS;VEGETATION STRUCTURE;COMMUNITY ORGANIZATION;GEOGRAPHIC-VARIATION;BIRD COMMUNITIES;PASSERINE BIRDS;BREEDING BIRDS;WOOD WARBLERS;FOREST;SELECTION;Environmental Sciences & Ecology ER"
247	"ALBATERCEDOR,J.;STUDEMANN,D."	"Upon the Identity of Drunella-Andaluciaca Kazanci, 1990 (Ephemeroptera, Ephemerellidae)"	1992	"Aquatic Insects"	"Aquat.Insects"	"Entomology ER"
248	"CASAS,JJ;VILCHEZQUERO,A."	"Cricotopus (Cricotopus) Nevadensis Sp-N (Diptera, Chironomidae) from Sierra-Nevada (Southern Spain)"	1992	"Hydrobiologia"	"Hydrobiologia"	"CRICOTOPUS (C) NEVADENSIS SP N;DIPTERA;CHIRONOMIDAE;STREAMS;SIERRA NEVADA;SPAIN;Marine & Freshwater Biology ER"
249	"CASTILLO,P.;VOVLAS,N."	"Mesocriconema-Kirjanovae (Nematoda, Criconematidae) from Southeastern Spain"	1992	"Journal of Nematology"	"J.Nematol."	"CRICONEMATIDAE;ERICA SP;MESOCRICONEMA-ANNULATIFORME;M-KIRJANOVAE;M-RASKIENSE;MORPHOLOGY;NEMATODE;RING NEMATODE;SCANNING ELECTRON MICROSCOPY (SEM);SPAIN;TAXONOMY;Zoology ER"
250	"GOMEZ,JM;ZAMORA,R."	"Pollination by Ants - Consequences of the Quantitative Effects on a Mutualistic System"	1992	"Oecologia"	"Oecologia"	"ANT POLLINATION;EXCLUSION EXPERIMENTS;PROFORMICA-LONGISETA;HORMATHOPHYLLA-SPINOSA;HIGH-MOUNTAIN ECOLOGY;DIAMORPHA-SMALLII CRASSULACEAE;POLEMONIUM-VISCOSUM;LEPORELLA-FIMBRIATA;POLLEN;FLOWERS;TRAITS;Environmental Sciences & Ecology ER"
251	"Lopez-Colon,J. I."	"Nuevos datos sobre Lucanidae y Melolonthidae de Sierra Nevada (Sur de la Peninsula Iberica) (Col.)."	1992	"Nouvelle Revue d'Entomologie"	"Nouv.Rev.Entomol."	"Zoology;Pseudolucanus barbarossa;Rhizotrogus [Spain / / Sierra Nevada;Annotated records]."
252	"Lozez-Colon,Jose Ignacio"	"New data on Lucanidae and Melolonthidae from the Sierra Nevada (Iberian Peninsula) (Coleoptera)"	1992	"Nouvelle Revue d'Entomologie"	"Nouv.Rev.Entomol."	"Life Sciences & Biomedicine - Other Topics;Environmental Sciences & Ecology"
253	"Morales-Baquero,R.;Carrillo,P.;Cruz-Pizarro,L.;Sanchez-Castillo,P."	"Southernmost high mountain lakes in Europe (Sierra Nevada) as reference sites for pollution and climate change monitoring."	1992	"Limnetica"	" "	"Environmental Sciences & Ecology;Zoology;Marine & Freshwater Biology;Meteorology & Atmospheric Sciences;Cladocera;Copepoda;Protozoa;Rotifera [Community structure / / Lakes;plankton;use in pollution & climate change monitoring] [Environmental indicators / / Pollution & climate change monitoring;plankton ecology] [Lake / / Ecology of plankton] [Acid pollution / / plankton ecology use in monitoring] [External pH / / ] [Climate and weather / / Climate change monitoring;use of plankton ecology] [Spain / / Sierra Nevada]."
254	"Nieto Feliner,Gonzalo"	"Notulae taxinomicae, chorologicae, nomenclaturales, bibliographicae aut philologicae in opus \"Flora Iberica\" intendentes: Are the yellow flowered and purple-violet-flowered orophilous Erysimum from the Sierra Nevada Mountain range conspecific?"	1992	"Anales del Jardin Botanico de Madrid"	"An.Jard.Bot.Madrid"	"Life Sciences & Biomedicine - Other Topics;Plant Sciences;Cell Biology;Genetics & Heredity"
255	"Perez Lopez,F. Javier"	"Contribution to the knowledge of the noctuids of Sierra Nevada (Granada) (Lepidoptera: Noctuidae)"	1992	"Boletim da Sociedade Portuguesa de Entomologia"	"Bol.Soc.Port.Entomol."	"Life Sciences & Biomedicine - Other Topics;Environmental Sciences & Ecology"
256	"Perez Lopez,Javier;Tinaut,Alberto"	"Diarsia guadarramensis, new record (Boursin, 1928) in the south of the Iberian Peninsula (Lepidoptera, Noctuidae)"	1992	"Boletin de la Asociacion Espanola de Entomologia"	"Bol.Asoc.Esp.Entomol."	"Life Sciences & Biomedicine - Other Topics;Anatomy & Morphology"
257	"Stace,Clive"	"Higher and earlier"	1992	"Entomologist's Record and Journal of Variation"	"Entomol.Rec.J.Var."	"Life Sciences & Biomedicine - Other Topics;Meteorology & Atmospheric Sciences;Environmental Sciences & Ecology;Anatomy & Morphology"
258	"Tierno De Figueroa,M.;Sanchez-Ortega,A.;Azzouz,M."	"Preliminary data on the numeric evolution of captures of various Plecoptera species (Insecta, Plecoptera) in Sierra Nevada (Granada, Spain) throughout their flight period"	1992	"Boletim da Sociedade Portuguesa de Entomologia"	"Bol.Soc.Port.Entomol."	"Life Sciences & Biomedicine - Other Topics;Developmental Biology;Environmental Sciences & Ecology;Marine & Freshwater Biology;Physiology"
259	"BUCHAR,J.;THALER,K."	"On the Genus Acantholycosa in Western-Europe (Arachnida, Araneida, Lycosidae)"	1993	"Revue Suisse De Zoologie"	" "	"ARANEIDA;LYCOSIDAE;ACANTHOLYCOSA;TAXONOMY;WESTERN EUROPE;Zoology ER"
260	"Casas,J. J.;Vilchez-Quero,A."	"Altitudinal distribution of lotic chironomid (Diptera) communities in the Sierra Nevada mountains (Southern Spain)"	1993	"Annales De Limnologie-International Journal of Limnology"	" "	"Diptera;Chironomidae;altitudinal distribution;streams;Sierra Nevada;Spain;Marine & Freshwater Biology ER"
261	"Durrieu,Guy;Adhikari,Mahesh K."	"Distribution of some groups of plant parasitic fungi in high mountains"	1993	"Bibliotheca Mycologica; Arctic and alpine mycology 3-4"	" "	"Life Sciences & Biomedicine - Other Topics;Environmental Sciences & Ecology;Infectious Diseases"
262	"Gomariz Cerezo,G."	"Aportacion al conocimiento de la distribucion y abundancia de Parnassius apollo (Linnaeus, 1758) en Sierra Nevada (Espana meridional) (Lepidoptera: Papilionidae)."	1993	"SHILAP Revista de Lepidopterologia"	" "	"Behavioral Sciences;Zoology;Environmental Sciences & Ecology;Parnassius apollo [Behaviour / / Observations] [Population density / / Mountains] [Distribution within habitat / / ] [Mountain habitat / / Distribution;abundance & behaviour] [Spain / / Sierra Nevada]."
263	"GOMEZ,JM"	"Phenotypic Selection on Flowering Synchrony in a High-Mountain Plant, Hormathophylla-Spinosa (Cruciferae)"	1993	"Journal of Ecology"	"J.Ecol."	"FLOWERING PHENOLOGY;HIGH-MOUNTAIN ECOLOGY;NATURAL SELECTION;POLLINATION BIOLOGY;SEED PRODUCTION;REPRODUCTIVE SUCCESS;NATURAL-SELECTION;SEED PREDATION;FRUIT;PRODUCTION;PHENOLOGY;CONSEQUENCES;SHRUB;POLLINATORS;TIME;POLEMONIUM;Plant Sciences;Environmental Sciences & Ecology ER"
264	"Huemer,Peter"	"Beitrag zur Kenntnis alpiner Dichrorampha-Arten der Iberischen Halbinsel (Lepidoptera: Tortricidae)."	1993	"Nota Lepidopterologica"	"Nota Lepidopterol."	"Zoology;Dichrorampha chavanneana [Spain / / Granada;Sierra Nevada;First record for Iberian Peninsula]. Dichrorampha harpeana andorraensis [Andorra / / New subspecies;first record of species for Iberian Peninsula]."
265	"IGNACIO,FE;TINAUT,A.;RUANO,F."	"Rock Selection for Nesting in Proformica-Longiseta Collingwood, 1978 (Hymenoptera, Formicidae) in a Mediterranean High Mountain"	1993	"International journal of biometeorology"	"Int.J.Biometeorol."	"HIGH MOUNTAIN;ROCK SELECTION;ANTS;Biophysics;Environmental Sciences & Ecology;Meteorology & Atmospheric Sciences;Physiology ER"
266	"Munguira,M. L.;Martin,J."	"The Sierra Nevada Blue, Polyommatus golgus (Hubner)"	1993	" "	" "	"Life Sciences & Biomedicine - Other Topics;Biodiversity & Conservation;Environmental Sciences & Ecology;Anatomy & Morphology"
267	"Munguira,M. L.;Martin,J."	"The Sierra Nevada blue, Polyommatus golgus (Hubner)."	1993	"Occasional Papers of the IUCN Species Survival Commission"	" "	"Environmental Sciences & Ecology;Zoology;Biodiversity & Conservation;Polyommatus golgus [Leisure and sport / / Proposed tourism development;potential ecological effects] [Conservation measures / / Recommendations] [Endangered status / / Review] [Ecology / / ] [Spain / / Granada;Sierra Nevada;Biology;conservation;distribution & systematics]."
268	"PANEK,E.;ZAWODNY,Z."	"Trace-Metals in the Roadside Mountain Soils of Sierra-Nevada, Spain"	1993	"Environmental Geochemistry and Health"	"Environ.Geochem.Health"	"Engineering;Environmental Sciences & Ecology;Public, Environmental & Occupational Health;Water Resources ER"
269	"Perez-Lopez,F. J.;Tinaut,A."	"The Noctuidae from Sierra Nevada (Granada) (Iberian Peninsula) (Lepidoptera: Noctuidae)"	1993	"Boletin de la Asociacion Espanola de Entomologia"	"Bol.Asoc.Esp.Entomol."	"Life Sciences & Biomedicine - Other Topics"
270	"RODRIGUEZ,E.;ROLLAND,A.;DECOCA,PL"	"Simultaneous Uvby-Beta Photometry of Sx Phoenicis Stars"	1993	"Astronomy & Astrophysics Supplement Series"	" "	"STARS, VARIABLE;STARS, DELTA-SCU;PHOTOMETRY;Astronomy & Astrophysics ER"
271	"Travesi Ydanez,Roberto"	"Un reciente brote de sarna afecta a la cabra montes de Sierra Nevada."	1993	"Quercus"	" "	"Parasitology;Zoology;Environmental Sciences & Ecology;Capra pyrenaica hispanica [Arachnid parasites / / Sarcoptes scabiei;Mange outbreak] [Spain / / Sierra Nevada;Mange outbreak recorded]. Sarcoptes scabiei [Mammalian hosts / / Capra pyrenaica hispanica;Outbreak recorded] [Irruption / / Outbreak on mammalian host recorded] [Spain / / Sierra Nevada]."
272	"ZAMORA,R.;GOMEZ,JM"	"Vertebrate Herbivores as Predators of Insect Herbivores - an Asymmetrical Interaction Mediated by Size Differences"	1993	"Oikos"	"Oikos"	"INTERSPECIFIC COMPETITION;HOST-PLANT;FIELD EXPERIMENTS;FRUIT;POPULATIONS;COMMUNITIES;FOREST;Environmental Sciences & Ecology ER"
