"key"	"Authors..Primary"	"Title.Primary"	"Pub.Year"	"Periodical.Full"	"Periodical.Abbrev"	"Keywords"
11	"Chueca,F. E."	"Plant Species and Communities of the Calcareous Region of the Sierra-Nevada Plants from Dornajo and Treveneque"	1973	"Boletim da Sociedade Broteriana"	" "	"Life Sciences & Biomedicine - Other Topics;Environmental Sciences & Ecology"
12	"Lacourt,J."	"Note sur quelques hymenopteres tenthredoides captures dans la Sierra-Nevada (Espagne), avec description d'une nouvelle espece du genre Tenthredo L."	1973	"Bulletin Soc Ent France"	" "	"Environmental Sciences & Ecology;Zoology;Tenthredinoidea [Population study / / ] [Spain / / Sierra Nevada]."
13	"Loeffler,H."	"Harpacticoids Crustacea Copepoda of the Mountain Waters in Andalusia Sierra-Nevada Spain"	1973	"Oesterreichische Akademie der Wissenschaften Mathematisch-Naturwissenschaftliche Klasse Sitzungsberichte Abteilung I"	" "	"Life Sciences & Biomedicine - Other Topics;Environmental Sciences & Ecology"
14	"Pulawski,W."	"Les Tachysphex Kohl (Hym., Sphecidae) de la region palearctique occidentale et centrale."	1973	" "	" "	"Developmental Biology;Zoology;Evolutionary Biology;Environmental Sciences & Ecology;Tachysphex [Life cycle / / ] [Phylogeny / / ] [Ecology / / ] [Palaearctic region / / ]."
15	"Ruiz Bustos,A.;Camacho Munoz,I."	"Datos sobre la alimentaciOn del Bubo bubo y determinacion de micromamiferos en Sierra Nevada mediante egagropilas."	1973	"Cuadernos Cienc biol"	" "	"Environmental Sciences & Ecology;Zoology;Rodentia [Predators / / Bubo bubo (Aves);Raptor pellet] [Spain / / Sierra Nevada;Raptor pellet]."
16	"Villar Del Fresno,A.;Cabo Torres,J."	"[Phytochemical study of Aconitum lycoctonum from Sierra Nevada. I. Quantitative determination of the alkaloid content]."	1973	"Bollettino chimico farmaceutico"	"Boll.Chim.Farm."	"Plant Sciences;Environmental Sciences & Ecology (provided by Thomson Reuters)"
17	"Holzel,H."	"Ein neuer trichterbauender Ameisenli we aus Sudwesteuropa (Planipenna)."	1974	"Nachrichtenblatt bayer Ent"	" "	"Zoology"
18	"Jeanne,C."	"Carabiques nouveaux (5."	1974	"Bulletin Soc Ent France"	" "	"Zoology"
19	"Martinez-Silvestre R"	"Study of the Diatom Flora of the Alpine Lake Aguas-Verdes Sierra-Nevada Granada Spain by Light and Electron Microscopy"	1974	" "	" "	"Life Sciences & Biomedicine - Other Topics;Environmental Sciences & Ecology;Marine & Freshwater Biology;Science & Technology - Other Topics ER"
20	"Weise,E."	"The Species of Isomira Coleoptera Alleculidae of Middle Europe and Places Situated in the Mediterranean Sea"	1974	"Entomologische Blaetter fuer Biologie und Systematik der Kaefer"	" "	"Anatomy & Morphology;Reproductive Biology;Life Sciences & Biomedicine - Other Topics"
21	"Wittmer,W."	"Contribution to the Knowledge of the Palearctic Cantharidae and Malachiidae Coleoptera"	1974	"Fragmenta Entomologica"	"Fragm.Entomol."	"Life Sciences & Biomedicine - Other Topics;Anatomy & Morphology"
22	"Baudiere,A.;Serve,L."	"Oro Mediterranean Groupings in the Eastern Pyrenees and their Relation to Similar Groups in the Sierra-Nevada"	1975	" "	" "	"Life Sciences & Biomedicine - Other Topics;Environmental Sciences & Ecology;Anatomy & Morphology ER"
23	"Beaucournu J-C"	"A New Flea for the Iberian Fauna Peromyscopsylla-Spectabilis-Viatrix New-Subspecies Siphonaptera Leptopsyllidae"	1975	"Entomologiste (Paris)"	" "	"Life Sciences & Biomedicine - Other Topics;Anatomy & Morphology;Parasitology"
24	"Beaucournu,J. -C"	"Une puce nouvelle de la faune iberique Peromyscopsylla spectabilis viatrix ssp. nova (Siphon. Leptopsyllidae)."	1975	"Entomologiste"	"Entomologiste"	"Parasitology;Zoology;Peromyscopsylla spectabilis viatrix [Mammalian hosts / / Microtus nivalis;New host records;Spain]."
25	"Dahlgren,G."	"Zur Taxonomie der Gattungen Rhagonycha, Pseudocratosilis und Cratosilis (Col. Cantharidae)."	1975	"Entomologische Blaetter fuer Biologie und Systematik der Kaefer"	" "	"Zoology"
26	"Fernandez Rubio,F."	"Catalogo de los ropaloceros de Sierra Nevada (Grenada)."	1975	" "	" "	"Zoology;Rhopalocera [Spain / / Grenada;Sierra Nevada;Faunal list]."
27	"GOZMANY,LA"	"New Symmocid Species (Lepidoptera) and Description of an Unknown Abdominal Organ"	1975	"Acta Zoologica Academiae Scientiarum Hungaricae"	" "	"Zoology ER"
28	"Harz,K."	"Die Orthopteren Europas 2."	1975	"Series Ent"	" "	"Zoology;Caelifera [Europe / / Revision]."
29	"Martinez-Silvestre R"	"1st Report on the Limnology of the Alpine Lake La-Caldera in the Penibetic Mountains Sierra-Nevada Granada Spain"	1975	" "	" "	"Biochemistry & Molecular Biology;Developmental Biology;Environmental Sciences & Ecology;Marine & Freshwater Biology ER"
30	"Pardo Alcaide,A."	"Studies on Meloidae Coleoptera Part 24 a New Species of Mylabris Mylabris-Platai New-Species from the Sierra-Nevada Spain"	1975	"Cuadernos de Ciencias Biologicas Universidad de Granada"	" "	"Life Sciences & Biomedicine - Other Topics;Anatomy & Morphology ER"
31	"Pardo Alcaide,A."	"Estudios sobre Meloidae (Coleoptera). 24. Una neuva especie de Mylabris Fabricius (Mylabris platai n. sp.) de Sierra Nevada."	1975	"Cuadernos Cienc biol"	" "	"Zoology;Mylabris (Micrabris) platai [Spain / / Sierra Nevada;New species]."
32	"de Worms,C. G. M."	"Plebicula golgus Hubner and other butterflies in the Sierra Nevada, July, 1975."	1976	"Entomologist's Record and Journal of Variation"	"Entomol.Rec.J.Var."	"Zoology;Plebicula golgus [Spain / / Sierra Nevada;Recorded]. Rhopalocera [Spain / / Sierra Nevada;Faunal lists]."
33	"De Worms,C. G. M."	"Plebicula-Golgus and Other Butterflies in the Sierra-Nevada Spain July 1975"	1976	"Entomologist's Record and Journal of Variation"	"Entomol.Rec.J.Var."	"Life Sciences & Biomedicine - Other Topics;Environmental Sciences & Ecology"
34	"FRAHM,JP"	"Philonotis-Hastata (Dub) Wijk and Marg, New in Europe"	1976	"Journal of Bryology"	"J.Bryol."	"Plant Sciences ER"
35	"Jimenez Guirado,D."	"Soil Nematodes in the Sierra-Nevada of Granada Spain and Adjacent Valleys 1. Antecedents and Catalog of Genera and Species Previously Cited"	1976	"Cuadernos de Ciencias Biologicas Universidad de Granada"	" "	"Life Sciences & Biomedicine - Other Topics;Environmental Sciences & Ecology;Physiology ER"
36	"Jimenez Guirado,D."	"Soil Nematodes in the Sierra-Nevada of Granada Spain and Adjacent Valleys 2. Results of a Preliminary Sampling"	1976	"Cuadernos de Ciencias Biologicas Universidad de Granada"	" "	"Life Sciences & Biomedicine - Other Topics;Environmental Sciences & Ecology ER"
37	"Pascual,F."	"Ctenodecticus-Major New-Species from Sierra-Nevada Spain Orthoptera Tettigoniidae"	1976	"Cuadernos de Ciencias Biologicas Universidad de Granada"	" "	"Life Sciences & Biomedicine - Other Topics;Anatomy & Morphology ER"
