"Periodical.Full" "count"
" " 33
"Boletin de la Asociacion Espanola de Entomologia" 31
"Geomorphology" 15
"Forest Ecology and Management" 14
"SHILAP Revista de Lepidopterologia" 12
"Hydrobiologia" 12
"Zoologica Baetica" 12
"Limnetica" 11
"Journal of Plankton Research" 10
"Aquatic Insects" 9
"Nova Hedwigia" 9
"Tectonics" 9
"Tectonophysics" 9
"Anales de Edafologia y Agrobiologia" 8
"Annals of the Entomological Society of America" 8
"Molecular ecology" 8
"Acta Botanica Malacitana" 7
"Boletin de la SEA" 7
"Anales del Jardin Botanico de Madrid" 7
"Biological Conservation" 7
"Nouvelle Revue d'Entomologie" 7
"Oecologia" 7
"Oikos" 7
"Nota Lepidopterologica" 6
"EOS-Revista Espanola de Entomologia" 6
"Geoderma" 6
"Freshwater Biology" 6
"Limnology and Oceanography" 6
"Lithos" 6
"Annales de la Societe Entomologique de France" 6
"Ecology" 6
"Boletim da Sociedade Portuguesa de Entomologia" 5
"Cuadernos de Ciencias Biologicas Universidad de Granada" 5
"Ardeola" 5
"Astronomy & Astrophysics" 5
"Biodiversity and Conservation" 5
"Cryptogamie Bryologie" 5
"Quaternary Research" 5
"Zootaxa" 5
"Donana Acta Vertebrata" 5
"Galemys" 5
"Boletin de la Real Sociedad Espanola de Historia Natural Seccion Biologica" 4
"Lagascalia" 4
"Ecological Society of America Annual Meeting Abstracts" 4
"Mitteilungen der Schweizerischen Entomologischen Gesellschaft" 4
"Acta Botanica Gallica" 4
"Arctic Antarctic and Alpine Research" 4
"Atmospheric Environment" 4
"Boletin De La Asociacion De Geografos Espanoles" 4
"Holocene" 4
"Journal of Parasitology" 4
"Journal of Structural Geology" 4
"Journal of Vegetation Science" 4
"Journal of wildlife diseases" 4
"Journal of zoology" 4
"Parasites & Vectors" 4
"Veterinary parasitology" 4
"Archiv Fur Hydrobiologie" 4
"Lazaroa" 3
"Alexanor" 3
"Annalen des Naturhistorischen Museums in Wien Serie B Botanik und Zoologie" 3
"Candollea" 3
"Cryptogamie Bryologie Lichenologie" 3
"Entomologische Blaetter fuer Biologie und Systematik der Kaefer" 3
"Entomologist's Record and Journal of Variation" 3
"Genome" 3
"Nematology" 3
"Studia Botanica" 3
"PhytoKeys" 3
"Zoological Science" 3
"Acta Oecologica-International Journal of Ecology" 3
"Agrochimica" 3
"American Journal of Botany" 3
"Chemical Geology" 3
"Earth Surface Processes and Landforms" 3
"Ecological Applications" 3
"Ecoscience" 3
"Ecosystems" 3
"Geografiska Annaler Series A-Physical Geography" 3
"Global Ecology and Biogeography" 3
"Journal of Ecology" 3
"Journal of Limnology" 3
"Parasitology research" 3
"Phytokeys" 3
"Quaternary Science Reviews" 3
"Remote Sensing" 3
"Restoration Ecology" 3
"Science of the Total Environment" 3
"Scripta Nova-Revista Electronica De Geografia Y Ciencias Sociales" 3
"Acta Theriologica" 3
"Comptes Rendus Hebdomadaires Des Seances De L Academie Des Sciences Serie D" 3
"Ecological Entomology" 3
"Folia Geobotanica" 3
"Revue Suisse De Zoologie" 3
"Acta Granatense" 3
"Actas do Congresso Iberico de Entomologia" 3
"Atalanta (Marktleuthen)" 3
"Boletin de la Sociedad Andaluza de Entomologia" 3
"Entomofauna" 3
"Quercus" 3
"Beitraege zur Entomologie" 2
"Boletin de la S.E.A." 2
"Linzer Biologische Beitraege" 2
"Acta Hydrobiologica" 2
"Annales de Limnologie" 2
"Belgian Journal of Entomology" 2
"Bulletin de la Societe Neuchateloise des Sciences Naturelles" 2
"Bulletin Zoologisch Museum Universiteit van Amsterdam" 2
"Canadian Journal of Genetics and Cytology" 2
"Collectanea Botanica (Barcelona)" 2
"Ecologia Mediterranea" 2
"Elytron (Barcelona)" 2
"Entomologica Scandinavica" 2
"Entomologist's Gazette" 2
"Genetic Resources and Crop Evolution" 2
"Genetics Selection Evolution (Paris)" 2
"Journal of Apicultural Research" 2
"Linneana Belgica" 2
"Mitteilungen der Entomologischen Gesellschaft Basel" 2
"Zeitschrift der Arbeitsgemeinschaft Oesterreichischer Entomologen" 2
"Medicina clinica" 2
"Aquatic Sciences" 2
"Canadian Journal of Fisheries and Aquatic Sciences" 2
"Catena" 2
"Climatic Change" 2
"Comptes Rendus Geoscience" 2
"Conservation Biology" 2
"Environmental management" 2
"European Journal of Soil Science" 2
"Gi_forum 2013: Creating the Gisociety" 2
"Ibis" 2
"Industrial Crops and Products" 2
"International Journal of Environmental Research" 2
"Journal of environmental management" 2
"Journal of Geophysical Research-Atmospheres" 2
"Journal of Hydrology" 2
"Journal of Iberian Geology" 2
"Journal of the Geological Society" 2
"Journal of the North American Benthological Society" 2
"Journal of thermal biology" 2
"Journal of Zoo and Wildlife Medicine" 2
"Medicine and science in sports and exercise" 2
"Mycologia" 2
"Permafrost and Periglacial Processes" 2
"Phytocoenologia" 2
"Phyton-International Journal of Experimental Botany" 2
"Plant Biosystems" 2
