"Journal";"ISSN";"Abbreviated.Journal.Title";"X.2014..Total.Cites";"Impact.Factor";"X5.Year.Impact.Factor";"Immediacy.Index";"X.2014..Articles";"Cited.Half.Life";"Eigenfactor.Score";"Article.Influence.Score";"categoria"
"ZOOLOGICHESKY ZHURNAL";"0044-5134";"ZOOL ZH";910;0.14;0.163;0.053;131;">10.0";0.00078;0.064;"ZOOLOGY"
"ZOOLOGISCHER ANZEIGER";"0044-5231";"ZOOL ANZ";1520;1.483;1.671;0.4;30;">10.0";0.00137;0.527;"ZOOLOGY"
"AMBIO";"0044-7447";"AMBIO";5261;2.641;3.291;0.881;101;"9.8";0.00642;1.023;"ENVIRONMENTAL SCIENCES"
"AMBIO";"0044-7447";"AMBIO";5261;2.641;3.291;0.881;101;"9.8";0.00642;1.023;"ENGINEERING, ENVIRONMENTAL"
"CANADIAN JOURNAL OF FOREST RESEARCH";"0045-5067";"CAN J FOREST RES";10923;1.683;2.148;0.245;159;">10.0";0.01001;0.654;"FORESTRY"
"ENVIRONMENTAL ENTOMOLOGY";"0046-225X";"ENVIRON ENTOMOL";7050;1.295;1.689;0.213;178;">10.0";0.00754;0.492;"ENTOMOLOGY"
"FRESHWATER BIOLOGY";"0046-5070";"FRESHWATER BIOL";12278;2.738;3.809;0.532;201;"9.3";0.0186;1.179;"MARINE & FRESHWATER BIOLOGY"
"RADIO SCIENCE";"0048-6604";"RADIO SCI";3693;1.439;1.278;0.233;103;">10.0";0.00485;0.574;"TELECOMMUNICATIONS"
"RADIO SCIENCE";"0048-6604";"RADIO SCI";3693;1.439;1.278;0.233;103;">10.0";0.00485;0.574;"REMOTE SENSING"
"RADIO SCIENCE";"0048-6604";"RADIO SCI";3693;1.439;1.278;0.233;103;">10.0";0.00485;0.574;"METEOROLOGY & ATMOSPHERIC SCIENCES"
"RADIO SCIENCE";"0048-6604";"RADIO SCI";3693;1.439;1.278;0.233;103;">10.0";0.00485;0.574;"GEOCHEMISTRY & GEOPHYSICS"
"RADIO SCIENCE";"0048-6604";"RADIO SCI";3693;1.439;1.278;0.233;103;">10.0";0.00485;0.574;"ASTRONOMY & ASTROPHYSICS"
"SCIENCE OF THE TOTAL ENVIRONMENT";"0048-9697";"SCI TOTAL ENVIRON";39706;4.099;4.414;0.921;1751;"6.3";0.07039;1.132;"ENVIRONMENTAL SCIENCES"
"WATER AIR AND SOIL POLLUTION";"0049-6979";"WATER AIR SOIL POLL";10861;1.554;1.872;0.177;435;"9.4";0.01395;0.451;"WATER RESOURCES"
"WATER AIR AND SOIL POLLUTION";"0049-6979";"WATER AIR SOIL POLL";10861;1.554;1.872;0.177;435;"9.4";0.01395;0.451;"METEOROLOGY & ATMOSPHERIC SCIENCES"
"WATER AIR AND SOIL POLLUTION";"0049-6979";"WATER AIR SOIL POLL";10861;1.554;1.872;0.177;435;"9.4";0.01395;0.451;"ENVIRONMENTAL SCIENCES"
"Acta Hydrobiologica";"0065-132X";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Beaufortia";"0067-4745";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"\"Bibliotheca Mycologica; Arctic and alpine mycology 3-4\"";"0067-8066";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"CONTRIBUTIONS TO ZOOLOGY";"0067-8546";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Malakologische Abhandlungen (Dresden)";"0070-7260";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Reichenbachia";"0070-7279";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Ecological Studies";"0070-8356";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"EVOLUTIONARY BIOLOGY";"0071-3260";"EVOL BIOL";1224;2.606;3.265;0.385;52;"5.8";0.00353;1.176;"EVOLUTIONARY BIOLOGY"
"PALEOENVIRONMENTAL RECORD AND APPLICATIONS OF CALCRETES AND PALUSTRINE CARBONATES";"0072-1077";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Koleopterologische Rundschau";"0075-6547";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NEUES JAHRBUCH FUR MINERALOGIE-ABHANDLUNGEN";"0077-7757";"NEUES JB MINER ABH";834;0.378;0.654;0.214;14;">10.0";0.00047;0.234;"MINERALOGY"
"Boletim da Sociedade Broteriana";"0081-0657";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Memorias da Sociedade Broteriana";"0081-0665";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Webbia";"0083-7792";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"JOURNAL OF WILDLIFE DISEASES";"0090-3558";"J WILDLIFE DIS";4085;1.355;1.402;0.427;143;">10.0";0.00495;0.417;"VETERINARY SCIENCES"
"GEOLOGY";"0091-7613";"GEOLOGY";29882;4.884;4.962;1.078;269;">10.0";0.05275;2.28;"GEOLOGY"
"WILDLIFE SOCIETY BULLETIN";"0091-7648";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"MYCOTAXON";"0093-4666";"MYCOTAXON";2145;0.705;0.71;0.027;112;"9.6";0.00295;0.177;"MYCOLOGY"
"PLANETARY NEBULAE AS ASTRONOMICAL TOOLS";"0094-243X";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"COMPUTERS & GEOSCIENCES";"0098-3004";"COMPUT GEOSCI-UK";6568;2.054;2.214;0.485;196;"7.7";0.01424;0.754;"GEOSCIENCES, MULTIDISCIPLINARY"
"COMPUTERS & GEOSCIENCES";"0098-3004";"COMPUT GEOSCI-UK";6568;2.054;2.214;0.485;196;"7.7";0.01424;0.754;"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS"
"Atualidades Ornitologicas";"0104-2386";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Lindbergia";"0105-0761";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ACTA PHYSIOLOGIAE PLANTARUM";"0137-5881";"ACTA PHYSIOL PLANT";2765;1.584;1.671;0.159;308;"3.9";0.00625;0.345;"PLANT SCIENCES"
"FOLIA ZOOLOGICA";"0139-7893";"FOLIA ZOOL";735;0.724;0.79;0.1;20;">10.0";0.00069;0.204;"ZOOLOGY"
"JOURNAL OF PLANKTON RESEARCH";"0142-7873";"J PLANKTON RES";6323;2.407;2.641;0.413;138;">10.0";0.00792;0.825;"OCEANOGRAPHY"
"JOURNAL OF PLANKTON RESEARCH";"0142-7873";"J PLANKTON RES";6323;2.407;2.641;0.413;138;">10.0";0.00792;0.825;"MARINE & FRESHWATER BIOLOGY"
"INTERNATIONAL JOURNAL OF REMOTE SENSING";"0143-1161";"INT J REMOTE SENS";16435;1.652;1.859;0.489;440;">10.0";0.01664;0.471;"REMOTE SENSING"
"INTERNATIONAL JOURNAL OF REMOTE SENSING";"0143-1161";"INT J REMOTE SENS";16435;1.652;1.859;0.489;440;">10.0";0.01664;0.471;"IMAGING SCIENCE & PHOTOGRAPHIC TECHNOLOGY"
"CRYOLETTERS";"0143-2044";"CRYOLETTERS";1146;1.14;1.258;0.074;68;"10.0";0.00091;0.217;"PHYSIOLOGY"
"CRYOLETTERS";"0143-2044";"CRYOLETTERS";1146;1.14;1.258;0.074;68;"10.0";0.00091;0.217;"BIOLOGY"
"APPLIED GEOGRAPHY";"0143-6228";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"HUMAN IMPACT ON EROSION AND SEDIMENTATION";"0144-7815";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"JOURNAL OF GEOPHYSICAL RESEARCH-EARTH SURFACE";"0148-0227";"J GEOPHYS RES";187781;3.426;3.667;0.644;3015;">10.0";0.31486;1.445;"GEOSCIENCES, MULTIDISCIPLINARY"
"Ecologia Mediterranea";"0153-8756";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"JOURNAL OF ARACHNOLOGY";"0161-8202";"J ARACHNOL";1322;0.624;0.74;0.05;40;">10.0";0.00121;0.243;"ENTOMOLOGY"
"CLIMATIC CHANGE";"0165-0009";"CLIMATIC CHANGE";13208;3.43;4.61;0.67;273;"7.0";0.03833;1.919;"METEOROLOGY & ATMOSPHERIC SCIENCES"
"CLIMATIC CHANGE";"0165-0009";"CLIMATIC CHANGE";13208;3.43;4.61;0.67;273;"7.0";0.03833;1.919;"ENVIRONMENTAL SCIENCES"
"AQUATIC INSECTS";"0165-0424";"AQUAT INSECT";302;0.395;0.415;NA;NA;">10.0";0.00044;0.151;"ENTOMOLOGY"
"SYSTEMATIC PARASITOLOGY";"0165-5752";"SYST PARASITOL";1375;1.336;1.228;0.611;72;">10.0";0.00143;0.311;"PARASITOLOGY"
"Bulletin Zoologisch Museum Universiteit van Amsterdam";"0165-9464";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"\"DOKULIL, M., H. METZ AND D. JEWSON (ED.). DEVELOPMENTS IN HYDROBIOLOGY, VOL. 3. SHALLOW LAKES: CONTRIBUTIONS TO THEIR LIMNOLOGY; MEETING, ILLMITZ, AUSTRIA, SEPT. 23-30, 1979. XII+212P. W. JUNK BV PUBLISHERS: THE HAGUE, NETHERLANDS; BOSTON, MASS, USA. ILLUS\"";"0167-8418";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"BIOGEOCHEMISTRY";"0168-2563";"BIOGEOCHEMISTRY";8575;3.488;4.143;0.738;149;"9.7";0.0128;1.373;"GEOSCIENCES, MULTIDISCIPLINARY"
"BIOGEOCHEMISTRY";"0168-2563";"BIOGEOCHEMISTRY";8575;3.488;4.143;0.738;149;"9.7";0.0128;1.373;"ENVIRONMENTAL SCIENCES"
"LANDSCAPE AND URBAN PLANNING";"0169-2046";"LANDSCAPE URBAN PLAN";7409;3.037;3.659;0.757;177;"7.5";0.01152;0.971;"GEOGRAPHY, PHYSICAL"
"LANDSCAPE AND URBAN PLANNING";"0169-2046";"LANDSCAPE URBAN PLAN";7409;3.037;3.659;0.757;177;"7.5";0.01152;0.971;"ECOLOGY"
"GEOMORPHOLOGY";"0169-555X";"GEOMORPHOLOGY";13632;2.785;3.256;0.632;435;"6.8";0.02494;0.953;"GEOSCIENCES, MULTIDISCIPLINARY"
"GEOMORPHOLOGY";"0169-555X";"GEOMORPHOLOGY";13632;2.785;3.256;0.632;435;"6.8";0.02494;0.953;"GEOGRAPHY, PHYSICAL"
"Atalanta (Marktleuthen)";"0171-0079";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Articulata";"0171-4090";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Oekologie der Voegel";"0173-0711";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Spixiana Supplement";"0177-7424";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Acta Biologica Benrodis";"0177-9214";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"BIOLOGY AND FERTILITY OF SOILS";"0178-2762";"BIOL FERT SOILS";6708;3.398;3.145;0.464;125;">10.0";0.00608;0.793;"SOIL SCIENCE"
"ETHOLOGY";"0179-1613";"ETHOLOGY";3847;1.791;1.895;0.41;122;"8.8";0.00587;0.598;"ZOOLOGY"
"ETHOLOGY";"0179-1613";"ETHOLOGY";3847;1.791;1.895;0.41;122;"8.8";0.00587;0.598;"BEHAVIORAL SCIENCES"
"CRYPTOGAMIE ALGOLOGIE";"0181-1568";"CRYPTOGAMIE ALGOL";413;1.3;1.566;0.524;21;"7.9";0.00082;0.454;"PLANT SCIENCES"
"CRYPTOGAMIE ALGOLOGIE";"0181-1568";"CRYPTOGAMIE ALGOL";413;1.3;1.566;0.524;21;"7.9";0.00082;0.454;"MARINE & FRESHWATER BIOLOGY"
"Cryptogamie Bryologie Lichenologie";"0181-1576";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"REVISTA MEXICANA DE ASTRONOMIA Y ASTROFISICA";"0185-1101";"REV MEX ASTRON ASTR";622;2.456;1.671;0.029;34;"7.7";0.00229;0.989;"ASTRONOMY & ASTROPHYSICS"
"JOURNAL OF STRUCTURAL GEOLOGY";"0191-8141";"J STRUCT GEOL";8432;2.884;2.895;0.638;149;">10.0";0.01104;1.044;"GEOSCIENCES, MULTIDISCIPLINARY"
"BRIMLEYANA";"0193-4406";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"MEDICINE AND SCIENCE IN SPORTS AND EXERCISE";"0195-9131";"MED SCI SPORT EXER";28651;3.983;5.38;0.864;273;">10.0";0.03676;1.616;"SPORT SCIENCES"
"IEEE TRANSACTIONS ON GEOSCIENCE AND REMOTE SENSING";"0196-2892";"IEEE T GEOSCI REMOTE";25780;3.514;4.112;0.858;628;"8.7";0.03513;1.107;"REMOTE SENSING"
"IEEE TRANSACTIONS ON GEOSCIENCE AND REMOTE SENSING";"0196-2892";"IEEE T GEOSCI REMOTE";25780;3.514;4.112;0.858;628;"8.7";0.03513;1.107;"IMAGING SCIENCE & PHOTOGRAPHIC TECHNOLOGY"
"IEEE TRANSACTIONS ON GEOSCIENCE AND REMOTE SENSING";"0196-2892";"IEEE T GEOSCI REMOTE";25780;3.514;4.112;0.858;628;"8.7";0.03513;1.107;"GEOCHEMISTRY & GEOPHYSICS"
"IEEE TRANSACTIONS ON GEOSCIENCE AND REMOTE SENSING";"0196-2892";"IEEE T GEOSCI REMOTE";25780;3.514;4.112;0.858;628;"8.7";0.03513;1.107;"ENGINEERING, ELECTRICAL & ELECTRONIC"
"ENERGY CONVERSION AND MANAGEMENT";"0196-8904";"ENERG CONVERS MANAGE";20440;4.38;4.512;1.262;989;"5.8";0.0246;0.743;"THERMODYNAMICS"
"ENERGY CONVERSION AND MANAGEMENT";"0196-8904";"ENERG CONVERS MANAGE";20440;4.38;4.512;1.262;989;"5.8";0.0246;0.743;"PHYSICS, NUCLEAR"
"ENERGY CONVERSION AND MANAGEMENT";"0196-8904";"ENERG CONVERS MANAGE";20440;4.38;4.512;1.262;989;"5.8";0.0246;0.743;"MECHANICS"
"ENERGY CONVERSION AND MANAGEMENT";"0196-8904";"ENERG CONVERS MANAGE";20440;4.38;4.512;1.262;989;"5.8";0.0246;0.743;"ENERGY & FUELS"
"EARTH SURFACE PROCESSES AND LANDFORMS";"0197-9337";"EARTH SURF PROC LAND";7373;2.845;3.087;0.602;166;"9.1";0.01273;1.04;"GEOSCIENCES, MULTIDISCIPLINARY"
"EARTH SURFACE PROCESSES AND LANDFORMS";"0197-9337";"EARTH SURF PROC LAND";7373;2.845;3.087;0.602;166;"9.1";0.01273;1.04;"GEOGRAPHY, PHYSICAL"
"Donana Acta Vertebrata";"0210-5985";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Trabajos y Monografias del Departamento de Zoologia Universidad Granada Nueva Serie";"0210-6469";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Lagascalia";"0210-7708";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Boletin de la Asociacion Espanola de Entomologia";"0210-8984";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Acta Botanica Malacitana";"0210-9506";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Lazaroa";"0210-9778";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Anales del Jardin Botanico de Madrid";"0211-1322";"AN JARDIN BOT MADRID";306;0.676;0.722;0;3;">10.0";0.00038;0.247;"PLANT SCIENCES"
"Miscellania Zoologica (Barcelona)";"0211-6529";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Studia Botanica";"0211-9714";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Quercus";"0212-0054";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Alytes (Merida)";"0212-7075";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"BOLETIN DE LA ASOCIACION DE GEOGRAFOS ESPANOLES";"0212-9426";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ORSIS Organismes i Sistemes";"0213-4039";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"CADERNOS DO LABORATORIO XEOLOXICO DE LAXE 21";"0213-4497";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"LIMNETICA";"0213-8409";"LIMNETICA";504;0.707;1.014;0;29;"8.6";0.00064;0.28;"MARINE & FRESHWATER BIOLOGY"
"LIMNETICA";"0213-8409";"LIMNETICA";504;0.707;1.014;0;29;"8.6";0.00064;0.28;"LIMNOLOGY"
"Ecologia (Madrid)";"0214-0896";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Elytron (Barcelona)";"0214-1353";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ACTA ZOOLOGICA HUNGARICA";"0236-7130";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Acta Biologica Debrecina Supplementum Oecologica Hungarica";"0236-8684";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"REVUE D ECOLOGIE-LA TERRE ET LA VIE";"0249-7395";"REV ECOL-TERRE VIE";348;0.258;0.329;0.167;30;">10.0";0.00021;0.089;"ECOLOGY"
"Entomofauna";"0250-4413";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Environmentalist";"0251-1088";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Linzer Biologische Beitraege";"0253-116X";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Annalen des Naturhistorischen Museums in Wien Serie B Botanik und Zoologie";"0255-0105";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"HYDROLOGICAL SCIENCES JOURNAL-JOURNAL DES SCIENCES HYDROLOGIQUES";"0262-6667";"HYDROLOG SCI J";3849;1.549;1.864;0.549;142;"9.8";0.00487;0.586;"WATER RESOURCES"
"JOURNAL OF GEODYNAMICS";"0264-3707";"J GEODYN";2244;2.217;2.499;0.805;77;"7.4";0.00588;0.961;"GEOCHEMISTRY & GEOPHYSICS"
"SOIL USE AND MANAGEMENT";"0266-0032";"SOIL USE MANAGE";2250;1.466;2.143;0.21;62;"9.2";0.00309;0.635;"SOIL SCIENCE"
"Bulletin of the Amateur Entomologists' Society";"0266-836X";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"JOURNAL OF QUATERNARY SCIENCE";"0267-8179";"J QUATERNARY SCI";3530;3.357;3.058;0.675;77;"7.5";0.00772;1.078;"GEOSCIENCES, MULTIDISCIPLINARY"
"JOURNAL OF QUATERNARY SCIENCE";"0267-8179";"J QUATERNARY SCI";3530;3.357;3.058;0.675;77;"7.5";0.00772;1.078;"GEOGRAPHY, PHYSICAL"
"DIATOM RESEARCH";"0269-249X";"DIATOM RES";765;1.746;1.338;1;37;">10.0";0.00084;0.343;"MARINE & FRESHWATER BIOLOGY"
"ENVIRONMENTAL GEOCHEMISTRY AND HEALTH";"0269-4042";"ENVIRON GEOCHEM HLTH";2047;2.566;2.755;0.188;85;"6.3";0.00391;0.71;"WATER RESOURCES"
"ENVIRONMENTAL GEOCHEMISTRY AND HEALTH";"0269-4042";"ENVIRON GEOCHEM HLTH";2047;2.566;2.755;0.188;85;"6.3";0.00391;0.71;"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH"
"ENVIRONMENTAL GEOCHEMISTRY AND HEALTH";"0269-4042";"ENVIRON GEOCHEM HLTH";2047;2.566;2.755;0.188;85;"6.3";0.00391;0.71;"ENVIRONMENTAL SCIENCES"
"ENVIRONMENTAL GEOCHEMISTRY AND HEALTH";"0269-4042";"ENVIRON GEOCHEM HLTH";2047;2.566;2.755;0.188;85;"6.3";0.00391;0.71;"ENGINEERING, ENVIRONMENTAL"
"FUNCTIONAL ECOLOGY";"0269-8463";"FUNCT ECOL";11132;4.828;5.278;1.365;148;"8.3";0.0225;2.007;"ECOLOGY"
"MOUNTAIN RESEARCH AND DEVELOPMENT";"0276-4741";"MT RES DEV";1099;1.021;1.244;0.343;35;">10.0";0.0012;0.363;"GEOGRAPHY, PHYSICAL"
"MOUNTAIN RESEARCH AND DEVELOPMENT";"0276-4741";"MT RES DEV";1099;1.021;1.244;0.343;35;">10.0";0.0012;0.363;"ENVIRONMENTAL SCIENCES"
"QUATERNARY SCIENCE REVIEWS";"0277-3791";"QUATERNARY SCI REV";16740;4.572;5.039;1.305;321;"6.9";0.03902;1.807;"GEOSCIENCES, MULTIDISCIPLINARY"
"QUATERNARY SCIENCE REVIEWS";"0277-3791";"QUATERNARY SCI REV";16740;4.572;5.039;1.305;321;"6.9";0.03902;1.807;"GEOGRAPHY, PHYSICAL"
"MILLIMETER, SUBMILLIMETER, AND FAR-INFRARED DETECTORS AND INSTRUMENTATION FOR ASTRONOMY VI";"0277-786X";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"JOURNAL OF ETHNOBIOLOGY";"0278-0771";"J ETHNOBIOL";289;1;1.254;0.1;20;">10.0";0.00038;0.336;"BIOLOGY"
"TECTONICS";"0278-7407";"TECTONICS";7822;3.318;3.945;0.895;114;">10.0";0.01027;1.49;"GEOCHEMISTRY & GEOPHYSICS"
"ZOOLOGICAL SCIENCE";"0289-0003";"ZOOL SCI";2227;0.857;0.951;0.188;112;"9.7";0.00296;0.292;"ZOOLOGY"
"SHILAP-REVISTA DE LEPIDOPTEROLOGIA";"0300-5267";"SHILAP-REV LEPIDOPT";243;0.435;0.437;0.055;55;"8.2";0.00027;0.087;"ENTOMOLOGY"
"Experimental hematology";"0301-472X";"EXP HEMATOL";5951;2.475;2.746;0.475;99;"9.1";0.00891;0.963;"MEDICINE, RESEARCH & EXPERIMENTAL"
"Experimental hematology";"0301-472X";"EXP HEMATOL";5951;2.475;2.746;0.475;99;"9.1";0.00891;0.963;"HEMATOLOGY"
"JOURNAL OF ENVIRONMENTAL MANAGEMENT";"0301-4797";"J ENVIRON MANAGE";14363;2.723;3.895;0.47;396;"5.3";0.03807;1.062;"ENVIRONMENTAL SCIENCES"
"INTERNATIONAL JOURNAL OF APPLIED EARTH OBSERVATION AND GEOINFORMATION";"0303-2434";"INT J APPL EARTH OBS";2600;3.47;3.487;0.769;182;"3.7";0.00656;0.852;"REMOTE SENSING"
"VETERINARY PARASITOLOGY";"0304-4017";"VET PARASITOL";14372;2.46;2.635;0.661;434;"6.7";0.02084;0.553;"VETERINARY SCIENCES"
"VETERINARY PARASITOLOGY";"0304-4017";"VET PARASITOL";14372;2.46;2.635;0.661;434;"6.7";0.02084;0.553;"PARASITOLOGY"
"JOURNAL OF BIOGEOGRAPHY";"0305-0270";"J BIOGEOGR";12352;4.59;5.118;0.943;192;"7.7";0.02637;1.839;"GEOGRAPHY, PHYSICAL"
"JOURNAL OF BIOGEOGRAPHY";"0305-0270";"J BIOGEOGR";12352;4.59;5.118;0.943;192;"7.7";0.02637;1.839;"ECOLOGY"
"BIOCHEMICAL SYSTEMATICS AND ECOLOGY";"0305-1978";"BIOCHEM SYST ECOL";3509;0.967;1.131;0.154;259;"9.7";0.00366;0.248;"EVOLUTIONARY BIOLOGY"
"BIOCHEMICAL SYSTEMATICS AND ECOLOGY";"0305-1978";"BIOCHEM SYST ECOL";3509;0.967;1.131;0.154;259;"9.7";0.00366;0.248;"ECOLOGY"
"BIOCHEMICAL SYSTEMATICS AND ECOLOGY";"0305-1978";"BIOCHEM SYST ECOL";3509;0.967;1.131;0.154;259;"9.7";0.00366;0.248;"BIOCHEMISTRY & MOLECULAR BIOLOGY"
"Annals of Botany (London)";"0305-7364";"ANN BOT-LONDON";17224;3.654;4.338;1.212;241;"8.9";0.02598;1.327;"PLANT SCIENCES"
"ICE-MARGINAL AND PERIGLACIAL PROCESSES AND SEDIMENTS";"0305-8719";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"JOURNAL OF THERMAL BIOLOGY";"0306-4565";"J THERM BIOL";2087;1.505;1.678;0.397;73;"9.4";0.00312;0.493;"ZOOLOGY"
"JOURNAL OF THERMAL BIOLOGY";"0306-4565";"J THERM BIOL";2087;1.505;1.678;0.397;73;"9.4";0.00312;0.493;"BIOLOGY"
"ECOLOGICAL ENTOMOLOGY";"0307-6946";"ECOL ENTOMOL";3771;1.699;2.11;0.247;89;">10.0";0.00491;0.726;"ENTOMOLOGY"
"PHYTOCOENOLOGIA";"0340-269X";"PHYTOCOENOLOGIA";520;1.742;1.257;0.688;16;">10.0";0.00033;0.277;"PLANT SCIENCES"
"BEHAVIORAL ECOLOGY AND SOCIOBIOLOGY";"0340-5443";"BEHAV ECOL SOCIOBIOL";10652;2.35;2.929;0.59;195;">10.0";0.01511;1.023;"ZOOLOGY"
"BEHAVIORAL ECOLOGY AND SOCIOBIOLOGY";"0340-5443";"BEHAV ECOL SOCIOBIOL";10652;2.35;2.929;0.59;195;">10.0";0.01511;1.023;"ECOLOGY"
"BEHAVIORAL ECOLOGY AND SOCIOBIOLOGY";"0340-5443";"BEHAV ECOL SOCIOBIOL";10652;2.35;2.929;0.59;195;">10.0";0.01511;1.023;"BEHAVIORAL SCIENCES"
"CATENA";"0341-8162";"CATENA";6269;2.82;3.074;0.632;258;"8.3";0.0083;0.827;"WATER RESOURCES"
"CATENA";"0341-8162";"CATENA";6269;2.82;3.074;0.632;258;"8.3";0.0083;0.827;"SOIL SCIENCE"
"CATENA";"0341-8162";"CATENA";6269;2.82;3.074;0.632;258;"8.3";0.0083;0.827;"GEOSCIENCES, MULTIDISCIPLINARY"
"Spixiana";"0341-8391";"SPIXIANA";206;0.537;0.5;0.222;27;">10.0";0.00023;0.148;"ZOOLOGY"
"Nota Lepidopterologica";"0342-7536";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"COMMUNICATIONS OF THE GERMAN SOCIETY FOR GENERAL AND APPLIED ENTOMONOLOGY, VOL 9 NO 4-6, SEPTEMBER 1995";"0344-9084";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"SOIL SCIENCE SOCIETY OF AMERICA JOURNAL";"0361-5995";"SOIL SCI SOC AM J";20343;1.721;2.297;0.32;206;">10.0";0.01287;0.709;"SOIL SCIENCE"
"SOCIOBIOLOGY";"0361-6525";"SOCIOBIOLOGY";922;0.372;0.403;0.183;82;">10.0";0.00096;0.106;"ENTOMOLOGY"
"ENVIRONMENTAL MANAGEMENT";"0364-152X";"ENVIRON MANAGE";6909;1.724;2.34;0.379;195;"9.3";0.0113;0.739;"ENVIRONMENTAL SCIENCES"
"ASTRONOMY & ASTROPHYSICS SUPPLEMENT SERIES";"0365-0138";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Anales de Edafologia y Agrobiologia";"0365-1797";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"BERICHTE DER DEUTSCHEN BOTANISCHEN GESELLSCHAFT";"0365-9631";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Boletin de la Sociedad Botanica de Mexico";"0366-2128";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Boletin de la Real Sociedad Espanola de Historia Natural Seccion Biologica";"0366-3272";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Bulletin de la Societe Neuchateloise des Sciences Naturelles";"0366-3469";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"CALDASIA";"0366-5232";"CALDASIA";219;0.266;0.278;0.034;29;">10.0";0.00021;0.084;"ZOOLOGY"
"CALDASIA";"0366-5232";"CALDASIA";219;0.266;0.278;0.034;29;">10.0";0.00021;0.084;"PLANT SCIENCES"
"ESTUDIOS GEOLOGICOS-MADRID";"0367-0449";"ESTUD GEOL-MADRID";313;0.457;0.795;0.048;21;">10.0";0.00049;0.274;"GEOLOGY"
"FLORA";"0367-2530";"FLORA";2182;1.472;1.663;0.118;85;"8.4";0.00364;0.47;"PLANT SCIENCES"
"FLORA";"0367-2530";"FLORA";2182;1.472;1.663;0.118;85;"8.4";0.00364;0.47;"ECOLOGY"
