"Journal";"ISSN";"Abbreviated.Journal.Title";"X.2014..Total.Cites";"Impact.Factor";"X5.Year.Impact.Factor";"Immediacy.Index";"X.2014..Articles";"Cited.Half.Life";"Eigenfactor.Score";"Article.Influence.Score";"categoria"
"CONTRIBUTIONS TO MINERALOGY AND PETROLOGY";"0010-7999";"CONTRIB MINERAL PETR";14415;3.484;4.035;0.669;130;">10.0";0.01469;1.552;"MINERALOGY"
"CONTRIBUTIONS TO MINERALOGY AND PETROLOGY";"0010-7999";"CONTRIB MINERAL PETR";14415;3.484;4.035;0.669;130;">10.0";0.01469;1.552;"GEOCHEMISTRY & GEOPHYSICS"
"EARTH AND PLANETARY SCIENCE LETTERS";"0012-821X";"EARTH PLANET SC LETT";48487;4.734;5.143;1.181;648;"9.6";0.10179;2.425;"GEOCHEMISTRY & GEOPHYSICS"
"ECOLOGICAL MONOGRAPHS";"0012-9615";"ECOL MONOGR";9207;6.98;10.106;1.655;29;">10.0";0.00949;4.238;"ECOLOGY"
"ECOLOGY";"0012-9658";"ECOLOGY";54009;4.656;6.155;0.734;316;">10.0";0.05891;2.485;"ECOLOGY"
"ENTOMOLOGICA SCANDINAVICA";"0013-8711";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ANNALS OF THE ENTOMOLOGICAL SOCIETY OF AMERICA";"0013-8746";"ANN ENTOMOL SOC AM";5098;1.19;1.283;0.315;127;">10.0";0.00358;0.377;"ENTOMOLOGY"
"Entomologische Blaetter fuer Biologie und Systematik der Kaefer";"0013-8835";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Entomologische Zeitschrift";"0013-8843";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Entomologiste (Paris)";"0013-8886";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Entomologist's Gazette";"0013-8894";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Entomologist's Record and Journal of Variation";"0013-8916";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"EOS-Revista Espanola de Entomologia";"0013-9440";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"FOLIA GEOBOTANICA";"0015-5551";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"FOLIA MICROBIOLOGICA";"0015-5632";"FOLIA MICROBIOL";1407;1;1.009;0.23;74;"9.1";0.0018;0.255;"MICROBIOLOGY"
