Abbreviated Journal Title;ISSN;{2014} Total Cites;Impact Factor;5-Year Impact Factor;Immediacy Index;{2014} Articles;Cited Half-Life;Eigenfactor Score;Article Influence Score
J BRAZIL CHEM SOC;0103-5053;3995;1.129;1.387;0.136;273;6.2;0.00623;0.286
J CHEM EDUC;0021-9584;8082;1.106;1.089;0.273;388;>10.0;0.00324;0.131
J CHEM ENG DATA;0021-9568;17706;2.037;2.165;0.479;516;7.5;0.02401;0.466
J CHEM INF MODEL;1549-9596;11653;3.738;3.916;0.724;308;6.4;0.01955;0.909
J CHEM RES;1747-5198;1987;0.633;0.557;0.132;197;>10.0;0.00143;0.086
J CHEM SCI;0974-3626;1560;1.191;1.421;0.181;199;4.9;0.00314;0.301
J CHEM SOC PAKISTAN;0253-5106;656;0.345;0.374;0.018;170;5.3;0.00101;0.066
J CHEM TECHNOL BIOT;0268-2575;8116;2.349;2.616;0.597;233;7.9;0.01133;0.614
J CHEM-NY;2090-9063;705;0.772;0.812;0.117;206;1.6;0.00182;0.155
J CHEMINFORMATICS;1758-2946;852;4.547;4.935;0.396;48;3.1;0.00360;1.351
J CHIL CHEM SOC;0717-9707;584;0.353;0.548;0.009;108;5.5;0.00098;0.101
J CHIN CHEM SOC-TAIP;0009-4536;1900;0.648;0.864;0.165;182;6.7;0.00234;0.156
J CO2 UTIL;2212-9820;120;3.091;3.091;0.462;39;1.4;0.00028;0.535
J COMPUT CHEM;0192-8651;28695;3.589;4.879;0.909;230;>10.0;0.03361;1.487
J COMPUT THEOR NANOS;1546-1955;2503;1.343;1.066;0.520;369;3.0;0.00373;0.134
J CONTROL RELEASE;0168-3659;35437;7.705;8.097;1.138;443;7.0;0.05251;1.792
J EXP NANOSCI;1745-8080;453;0.981;1.081;0.208;106;3.9;0.00107;0.219
J FLOW CHEM;2062-249X;122;1.878;2.019;0.500;32;2.4;0.00039;0.468
J INCL PHENOM MACRO;0923-0750;2683;1.488;1.360;0.252;151;7.5;0.00311;0.254
J IND ENG CHEM;1226-086X;4917;3.512;3.021;0.708;610;2.8;0.00894;0.492
J INDIAN CHEM SOC;0019-4522;1370;0.173;0.191;0.064;251;>10.0;0.00057;0.030
J IRAN CHEM SOC;1735-207X;1225;1.087;1.395;0.262;183;4.3;0.00229;0.227
J MATH CHEM;0259-9791;1972;1.145;1.147;0.390;164;5.8;0.00489;0.369
J MEX CHEM SOC;1870-249X;294;0.619;0.716;0.160;50;5.1;0.00050;0.135
J MOL MODEL;1610-2940;4463;1.736;1.711;0.189;461;3.8;0.00979;0.374
J NANOPART RES;1388-0764;10038;2.184;2.649;0.311;563;3.9;0.02524;0.596
J NANOSCI NANOTECHNO;1533-4880;13770;1.556;1.234;0.592;1388;3.7;0.02150;0.181
J PHARM SCI-US;0022-3549;19166;2.590;3.065;0.377;406;9.3;0.02291;0.706
J PHYS CHEM REF DATA;0047-2689;5881;2.811;4.250;1.000;17;>10.0;0.00172;1.356
J PHYS CHEM SOLIDS;0022-3697;13309;1.853;1.918;0.585;200;>10.0;0.01046;0.456
J PORPHYR PHTHALOCYA;1088-4246;2285;1.397;1.603;0.179;123;6.7;0.00338;0.326
J SAUDI CHEM SOC;1319-6103;597;2.523;;0.177;130;3.0;0.00141;
J SERB CHEM SOC;0352-5139;1528;0.871;1.009;0.147;129;5.9;0.00248;0.207
J SULFUR CHEM;1741-5993;481;0.943;0.927;0.476;63;4.7;0.00084;0.183
J THEOR COMPUT CHEM;0219-6336;449;0.638;0.502;0.165;85;5.8;0.00075;0.110
KOREAN J CHEM ENG;0256-1115;3097;1.166;1.131;0.217;300;5.1;0.00555;0.232
LAB CHIP;1473-0197;21499;6.115;5.775;1.329;502;4.0;0.06191;1.521
LANGMUIR;0743-7463;118847;4.457;4.543;0.682;1850;7.2;0.18462;1.096
LIQ CRYST;0267-8292;4509;2.486;2.049;0.527;207;8.5;0.00414;0.312
MACED J CHEM CHEM EN;1857-5552;86;0.533;0.650;0.053;19;;0.00031;0.191
MACROHETEROCYCLES;1998-9539;221;0.942;;0.244;41;3.1;0.00066;
MAGN RESON CHEM;0749-1581;3328;1.179;1.225;0.200;105;9.2;0.00375;0.316
MAIN GROUP CHEM;1024-1221;135;0.456;0.430;0.032;31;6.5;0.00016;0.073
MAR CHEM;0304-4203;8354;2.735;3.636;0.588;85;>10.0;0.00832;1.296
MATCH-COMMUN MATH CO;0340-6253;1491;1.466;1.357;0.798;109;5.1;0.00518;0.560
MATER HORIZ;2051-6347;259;;;3.324;74;0.5;0.00004;
MENDELEEV COMMUN;0959-9436;1525;1.340;1.197;0.137;139;5.9;0.00248;0.248
MOL DIVERS;1381-1991;1357;1.896;2.412;0.348;69;4.6;0.00268;0.458
MONATSH CHEM;0026-9247;4155;1.222;1.326;0.195;236;9.3;0.00390;0.240
NANO LETT;1530-6984;118534;13.592;14.887;2.552;1103;4.9;0.36396;4.889
NANO TODAY;1748-0132;4770;15.000;20.089;1.200;35;4.1;0.01625;5.359
NANOSCALE;2040-3364;30888;7.394;7.762;1.499;1840;2.2;0.10001;1.740
