Abbreviated Journal Title;ISSN;{2014} Total Cites;Impact Factor;5-Year Impact Factor;Immediacy Index;{2014} Articles;Cited Half-Life;Eigenfactor Score;Article Influence Score
ACTA PALAEONTOL POL;0567-7920;1759;1.866;1.911;0.390;82;8.2;0.00324;0.650
AFR INVERTEBR;1681-5556;151;0.464;0.467;0.062;16;7.2;0.00035;0.164
ALCHERINGA;0311-5518;717;1.117;1.131;0.190;42;>10.0;0.00111;0.383
AMEGHINIANA;0002-7014;1234;1.221;1.324;0.139;36;>10.0;0.00121;0.405
ANN CARNEGIE MUS;0097-4463;385;0.724;0.862;0.000;10;>10.0;0.00032;0.305
ANN PALEONTOL;0753-3969;409;0.970;0.853;0.346;26;>10.0;0.00034;0.319
B GEOSCI;1214-1119;540;1.515;1.582;0.775;40;4.0;0.00186;0.506
B SOC PALEONTOL ITAL;0375-7633;421;0.953;1.000;0.133;15;>10.0;0.00054;0.334
CARNETS GEOL;1634-0744;92;0.406;;0.357;14;;0.00020;
CR PALEVOL;1631-0683;864;1.192;1.211;0.400;60;7.1;0.00204;0.467
CRETACEOUS RES;0195-6671;2466;1.904;1.857;0.324;102;7.7;0.00457;0.589
EARTH ENV SCI T R SO;1755-6910;1677;0.935;1.686;0.385;13;>10.0;0.00125;0.669
FACIES;0172-9179;1191;1.448;1.607;0.415;53;9.8;0.00149;0.491
FOSS REC;2193-0066;125;0.591;0.738;0.600;5;8.4;0.00024;0.245
GEOBIOS-LYON;0016-6995;1601;1.243;1.337;0.133;30;>10.0;0.00186;0.464
GEOCHRONOMETRIA;1733-8387;362;0.723;1.158;0.150;40;5.9;0.00082;0.338
GEODIVERSITAS;1280-9659;539;0.947;1.214;0.125;16;7.7;0.00124;0.452
GFF;1103-5897;610;1.309;1.281;0.330;88;9.3;0.00069;0.383
HIST BIOL;0891-2963;649;1.489;1.279;0.381;63;9.9;0.00097;0.371
ICHNOS;1042-0940;513;1.077;1.033;0.381;21;>10.0;0.00053;0.281
INT J PALEOPATHOL;1879-9817;94;0.726;0.879;0.184;38;;0.00037;0.232
J FORAMIN RES;0096-1191;1268;1.167;1.394;0.259;27;>10.0;0.00078;0.387
J MICROPALAEONTOL;0262-821X;301;0.800;0.985;1.231;13;>10.0;0.00035;0.327
J PALAEONTOL SOC IND;0552-9360;216;0.432;;0.053;19;>10.0;0.00026;
J PALEONTOL;0022-3360;4563;1.281;1.489;0.978;91;>10.0;0.00346;0.520
J SYST PALAEONTOL;1477-2019;760;3.727;3.353;1.154;39;4.3;0.00264;1.250
J VERTEBR PALEONTOL;0272-4634;4804;1.979;2.376;0.571;126;9.2;0.00757;0.734
LETHAIA;0024-1164;1906;1.454;1.951;0.333;45;>10.0;0.00247;0.691
MAR MICROPALEONTOL;0377-8398;2961;1.837;2.032;0.380;50;>10.0;0.00262;0.658
MICROPALEONTOLOGY;0026-2803;1122;0.429;0.730;0.045;22;>10.0;0.00041;0.205
NEUES JAHRB GEOL P-A;0077-7749;771;0.519;0.791;0.111;72;6.6;0.00174;0.258
P GEOLOGIST ASSOC;0016-7878;861;1.146;1.182;0.333;57;>10.0;0.00106;0.304
PALAEOGEOGR PALAEOCL;0031-0182;17076;2.339;2.942;0.554;368;8.8;0.02732;0.996
PALAEONTOGR ABT A;0375-0442;655;1.167;1.418;0.375;8;>10.0;0.00042;0.475
PALAEONTOGR ABT B;0375-0299;584;0.529;0.723;0.667;3;>10.0;0.00018;0.238
PALAEONTOL ELECTRON;1935-3952;1646;2.081;1.970;0.333;42;>10.0;0.00181;0.693
PALAEONTOL Z;0031-0220;913;1.477;1.458;0.471;34;>10.0;0.00162;0.614
PALAEONTOLOGY;0031-0239;3586;2.240;2.164;0.726;62;>10.0;0.00522;0.858
PALAIOS;0883-1351;2765;1.511;1.863;0.109;55;>10.0;0.00340;0.597
PALEOBIOLOGY;0094-8373;3496;2.658;2.945;0.590;39;>10.0;0.00349;1.213
PALEOCEANOGRAPHY;0883-8305;6835;3.738;4.083;0.580;81;>10.0;0.01241;2.159
PALEONTOL J+;0031-0301;1179;0.514;0.587;0.069;131;>10.0;0.00153;0.167
PALEONTOL RES;1342-8144;240;0.473;0.507;0.087;23;9.3;0.00035;0.159
PALYNOLOGY;0191-6122;365;0.922;1.093;0.250;24;>10.0;0.00055;0.359
REV BRAS PALEONTOLOG;1519-7530;266;0.672;0.809;0.100;20;6.8;0.00056;0.252
REV PALAEOBOT PALYNO;0034-6667;3893;1.940;2.159;0.620;79;>10.0;0.00514;0.622
RIV ITAL PALEONTOL S;0035-6883;692;0.938;0.809;0.037;27;>10.0;0.00049;0.237
STRATIGR GEO CORREL+;0869-5938;499;0.805;0.843;0.114;44;8.0;0.00107;0.322
STRATIGRAPHY;1547-139X;217;0.400;1.034;0.100;10;6.5;0.00055;0.396
VEG HIST ARCHAEOBOT;0939-6314;1452;2.648;2.344;0.561;66;7.5;0.00200;0.644;

