Abbreviated Journal Title;ISSN;{2014} Total Cites;Impact Factor;5-Year Impact Factor;Immediacy Index;{2014} Articles;Cited Half-Life;Eigenfactor Score;Article Influence Score
ACTA ORNITHOL;0001-6454;422;0.745;1.559;0.077;13;6.6;0.00086;0.460
ARDEA;0373-2266;1090;0.646;0.878;0.000;22;>10.0;0.00077;0.268
ARDEOLA;0570-7358;358;0.571;0.779;0.000;28;>10.0;0.00053;0.243
AUK;0004-8038;5977;1.864;2.151;0.328;64;>10.0;0.00511;0.823
AVIAN CONSERV ECOL;1712-6568;175;1.441;1.568;0.188;16;4.5;0.00071;0.603
BIRD CONSERV INT;0959-2709;712;1.784;1.480;0.349;43;6.5;0.00169;0.526
BIRD STUDY;0006-3657;1500;1.107;1.158;0.234;64;>10.0;0.00164;0.347
CONDOR;0010-5422;4580;1.000;1.309;0.529;51;>10.0;0.00303;0.428
EMU;0158-4197;973;1.107;1.278;0.114;44;>10.0;0.00154;0.448
FORKTAIL;0950-1746;128;0.347;0.488;0.154;26;9.1;0.00014;0.107
IBIS;0019-1019;4444;1.921;2.217;0.429;84;>10.0;0.00444;0.715
J AVIAN BIOL;0908-8857;2654;1.971;2.104;0.527;74;8.8;0.00404;0.698
J FIELD ORNITHOL;0273-8570;1248;0.988;1.227;0.114;35;>10.0;0.00150;0.428
J ORNITHOL;0021-8375;2260;1.711;1.760;0.416;113;5.7;0.00588;0.580
J RAPTOR RES;0892-1016;696;0.631;0.848;0.575;40;>10.0;0.00079;0.235
ORNIS FENNICA;0030-5685;355;0.612;0.763;0.042;24;>10.0;0.00039;0.217
ORNITHOL SCI;1347-0558;134;0.276;;0.000;13;8.0;0.00027;
ORNITOL NEOTROP;1075-4377;394;0.309;0.352;0.022;45;9.1;0.00049;0.113
OSTRICH;0030-6525;520;0.414;0.514;0.206;34;>10.0;0.00045;0.165
REV BRAS ORNITOL;0103-5657;203;0.469;0.413;0.137;51;5.3;0.00034;0.089
WATERBIRDS;1524-4695;1012;0.637;0.847;0.409;66;8.2;0.00147;0.262
WILSON J ORNITHOL;1559-4491;550;0.596;0.583;0.033;91;4.8;0.00183;0.192;

