Abbreviated Journal Title;ISSN;{2014} Total Cites;Impact Factor;5-Year Impact Factor;Immediacy Index;{2014} Articles;Cited Half-Life;Eigenfactor Score;Article Influence Score
ADV ROBOTICS;0169-1864;808;0.572;0.652;0.053;131;6.7;0.00179;0.209
APPL BIONICS BIOMECH;1176-2322;119;0.255;;0.050;20;5.5;0.00037;
AUTON ROBOT;0929-5593;1350;2.066;2.170;0.191;47;8.3;0.00361;0.992
BIOINSPIR BIOMIM;1748-3182;944;2.354;2.544;0.694;72;3.8;0.00362;0.962
IEEE ROBOT AUTOM MAG;1070-9932;1230;2.413;2.526;0.143;35;7.5;0.00313;1.140
IEEE T AUTON MENT DE;1943-0604;256;1.478;2.205;0.450;20;4.1;0.00125;0.704
IEEE T ROBOT;1552-3098;7618;2.432;3.358;0.250;132;9.9;0.01429;1.544
IND ROBOT;0143-991X;551;0.635;0.750;0.102;59;7.1;0.00090;0.194
INT J ADV ROBOT SYST;1729-8806;634;0.526;0.557;0.122;189;2.6;0.00153;0.118
INT J HUM ROBOT;0219-8436;272;0.691;0.659;0.122;41;7.0;0.00043;0.165
INT J ROBOT AUTOM;0826-8185;169;0.408;0.422;0.067;45;6.1;0.00033;0.108
INT J ROBOT RES;0278-3649;4338;2.540;3.363;0.305;95;8.4;0.01134;1.570
INT J SOC ROBOT;1875-4791;345;1.207;1.751;0.410;39;3.9;0.00096;0.325
INTEL SERV ROBOT;1861-2776;58;0.658;;0.050;20;;0.00028;
J BIONIC ENG;1672-6529;741;1.632;1.732;0.200;60;4.7;0.00184;0.388
J FIELD ROBOT;1556-4959;937;1.430;2.109;0.558;43;5.8;0.00276;0.789
J INTELL ROBOT SYST;0921-0296;1202;1.178;1.339;0.102;176;5.0;0.00305;0.370
J MECH ROBOT;1942-4302;339;1.042;1.143;0.107;56;3.6;0.00220;0.482
REV IBEROAM AUTOM IN;1697-7912;105;0.318;0.308;0.105;38;4.9;0.00018;0.054
ROBOT AUTON SYST;0921-8890;2326;1.256;1.583;0.234;145;7.0;0.00551;0.578
ROBOT CIM-INT MANUF;0736-5845;1880;2.305;2.124;0.294;68;5.7;0.00416;0.570
ROBOTICA;0263-5747;1202;0.688;1.050;0.354;82;7.1;0.00317;0.414
SWARM INTELL-US;1935-3812;312;2.160;;0.231;13;6.3;0.00080;;

