Abbreviated Journal Title;ISSN;{2014} Total Cites;Impact Factor;5-Year Impact Factor;Immediacy Index;{2014} Articles;Cited Half-Life;Eigenfactor Score;Article Influence Score
COMPUT-AIDED CIV INF;1093-9687;1834;4.925;4.021;0.480;50;5.4;0.00394;1.037
IEEE INTEL TRANSP SY;1939-1390;84;0.821;1.014;0.115;26;;0.00041;0.356
IEEE T INTELL TRANSP;1524-9050;3309;2.377;3.039;0.279;233;4.6;0.00787;0.770
IEEE T VEH TECHNOL;0018-9545;9390;1.978;2.483;0.305;417;5.2;0.03595;1.019
IEEE VEH TECHNOL MAG;1556-6072;437;1.750;1.669;0.310;29;4.6;0.00275;1.081
IET INTELL TRANSP SY;1751-956X;313;0.804;1.109;0.055;73;4.2;0.00106;0.302
INT J AUTO TECH-KOR;1229-9138;692;0.969;0.946;0.056;125;4.3;0.00197;0.231
INT J ENGINE RES;1468-0874;664;1.506;1.788;0.096;73;5.8;0.00161;0.536
INT J HEAVY VEH SYST;1744-232X;110;0.233;0.405;0.062;16;6.6;0.00031;0.179
INT J VEHICLE DES;0143-3369;538;0.405;0.433;0.074;54;10.0;0.00063;0.144
ITE J;0162-8178;180;0.151;0.128;0.019;53;>10.0;0.00026;0.061
J ADV TRANSPORT;0197-6729;554;1.606;1.868;0.132;68;6.3;0.00116;0.538
J INTELL TRANSPORT S;1547-2450;356;1.377;1.514;0.971;35;5.5;0.00088;0.529
J TRANSP ENG;0733-947X;2335;0.797;1.028;0.100;110;>10.0;0.00382;0.377
NETW SPAT ECON;1566-113X;635;2.085;2.081;0.357;28;6.7;0.00168;0.784
P I CIVIL ENG-TRANSP;0965-092X;168;0.262;0.511;1.057;35;4.9;0.00036;0.175
P I MECH ENG D-J AUT;0954-4070;1489;0.828;0.895;0.113;124;7.8;0.00258;0.271
P I MECH ENG F-J RAI;0954-4097;687;0.857;0.982;0.186;70;7.2;0.00218;0.498
PROMET-ZAGREB;0353-5320;102;0.270;0.286;0.204;49;3.6;0.00023;0.057
TRANSP LETT;1942-7867;90;0.526;0.918;0.000;23;;0.00070;0.450
TRANSPORT PLAN TECHN;0308-1060;373;0.512;0.627;0.114;44;7.3;0.00084;0.260
TRANSPORT RES A-POL;0965-8564;4814;2.789;3.563;0.362;199;8.0;0.00948;1.298
TRANSPORT RES B-METH;0191-2615;6014;2.952;4.116;0.408;125;9.4;0.01092;1.421
TRANSPORT RES C-EMER;0968-090X;3199;2.818;3.402;0.484;184;4.7;0.00960;1.147
TRANSPORT RES D-TR E;1361-9209;2257;1.937;2.603;0.140;114;6.6;0.00568;0.892
TRANSPORT RES E-LOG;1366-5545;2947;2.676;3.513;0.404;141;5.6;0.00843;1.220
TRANSPORT RES REC;0361-1981;11925;0.544;0.776;0.030;710;9.2;0.01796;0.246
TRANSPORT SCI;0041-1655;3586;3.043;3.753;0.805;41;>10.0;0.00560;2.026
TRANSPORT-VILNIUS;1648-4142;226;0.553;0.618;0.078;51;4.3;0.00065;0.164
TRANSPORTATION;0049-4488;1945;2.358;2.479;0.292;65;8.0;0.00414;1.015
TRANSPORTMETRICA;1812-8602;328;3.773;2.684;;0;4.6;0.00114;0.944
TRANSPORTMETRICA A;2324-9935;77;1.333;1.357;0.435;46;;0.00039;0.586
TRANSPORTMETRICA B;2168-0566;33;2.417;2.417;0.308;13;;0.00025;1.313;

