Abbreviated Journal Title;ISSN;{2014} Total Cites;Impact Factor;5-Year Impact Factor;Immediacy Index;{2014} Articles;Cited Half-Life;Eigenfactor Score;Article Influence Score
J COMPUT SYS SC INT+;1064-2307;287;0.483;0.341;0.112;80;5.6;0.00037;0.057
J EXP THEOR ARTIF IN;0952-813X;271;1.000;0.748;0.533;30;8.3;0.00031;0.164
J HEURISTICS;1381-1231;876;1.135;1.940;0.192;26;8.5;0.00221;0.833
J INTELL FUZZY SYST;1064-1246;963;1.812;1.607;0.250;548;2.6;0.00070;0.157
J INTELL INF SYST;0925-9902;515;0.886;0.774;0.160;50;10.0;0.00079;0.256
J INTELL MANUF;0956-5515;1791;1.731;1.912;0.076;105;5.3;0.00299;0.369
J INTELL ROBOT SYST;0921-0296;1202;1.178;1.339;0.102;176;5.0;0.00305;0.370
J MACH LEARN RES;1532-4435;8422;2.473;4.771;0.314;102;8.3;0.02860;3.228
J MATH IMAGING VIS;0924-9907;1566;1.552;2.197;0.435;92;7.3;0.00578;1.260
J MULT-VALUED LOG S;1542-3980;225;0.346;0.741;0.105;57;3.9;0.00073;0.199
J MULTIMODAL USER IN;1783-7677;105;0.797;0.937;0.125;32;4.0;0.00040;0.264
J REAL-TIME IMAGE PR;1861-8200;275;2.020;1.548;0.146;48;3.8;0.00107;0.545
J WEB SEMANT;1570-8268;777;2.550;2.464;0.077;26;6.1;0.00216;0.889
KNOWL ENG REV;0269-8889;579;0.766;1.126;0.074;27;>10.0;0.00082;0.499
KNOWL INF SYST;0219-1377;1565;1.782;2.016;0.204;113;4.7;0.00440;0.623
KNOWL-BASED SYST;0950-7051;3424;2.947;3.011;0.410;295;3.0;0.00923;0.681
MACH LEARN;0885-6125;8649;1.889;2.636;0.211;57;>10.0;0.00719;1.714
MACH VISION APPL;0932-8092;1145;1.351;1.473;0.289;128;5.4;0.00288;0.471
MALAYS J COMPUT SCI;0127-9084;74;0.405;0.449;0.050;20;;0.00008;0.061
MECHATRONICS;0957-4158;2367;1.726;2.052;0.548;115;5.8;0.00581;0.639
MED IMAGE ANAL;1361-8415;4058;3.654;4.454;0.647;102;6.5;0.00847;1.316
MEMET COMPUT;1865-9284;123;1.000;;0.000;20;3.8;0.00055;
MIND MACH;0924-6495;249;0.568;0.496;0.053;19;8.3;0.00035;0.175
NAT COMPUT;1567-7818;462;0.757;;0.050;40;5.9;0.00151;
NAT LANG ENG;1351-3249;255;0.639;0.726;0.056;18;9.9;0.00044;0.290
NETWORK-COMP NEURAL;0954-898X;660;0.870;0.788;0.000;10;>10.0;0.00027;0.327
NEURAL COMPUT;0899-7667;7782;2.207;2.203;0.574;47;>10.0;0.00824;0.957
NEURAL COMPUT APPL;0941-0643;2159;1.569;1.560;0.387;367;2.7;0.00477;0.284
NEURAL NETW WORLD;1210-0552;197;0.479;0.419;0.054;37;6.5;0.00026;0.075
NEURAL NETWORKS;0893-6080;6625;2.708;2.729;0.699;136;10.0;0.00934;0.835
NEURAL PROCESS LETT;1370-4621;840;1.448;1.412;0.270;37;>10.0;0.00116;0.377
NEUROCOMPUTING;0925-2312;8869;2.083;2.292;0.475;874;4.8;0.01794;0.514
PATTERN ANAL APPL;1433-7541;522;0.646;0.994;0.200;60;8.2;0.00108;0.377
PATTERN RECOGN;0031-3203;16200;3.096;3.613;0.604;313;8.0;0.02783;1.141
PATTERN RECOGN LETT;0167-8655;7287;1.551;1.896;0.276;312;8.3;0.01336;0.689
ROBOT AUTON SYST;0921-8890;2326;1.256;1.583;0.234;145;7.0;0.00551;0.578
SIAM J IMAGING SCI;1936-4954;1731;2.270;5.237;0.273;99;5.1;0.01404;3.168
SOFT COMPUT;1432-7643;1978;1.271;1.635;0.285;186;4.8;0.00478;0.413
SWARM INTELL-US;1935-3812;312;2.160;;0.231;13;6.3;0.00080;
TRAIT SIGNAL;0765-0019;50;0.103;0.056;0.000;10;;0.00006;0.036
TURK J ELECTR ENG CO;1300-0632;298;0.407;0.507;0.058;121;3.6;0.00074;0.108
WIRES DATA MIN KNOWL;1942-4787;217;1.594;1.954;0.154;26;3.0;0.00125;0.721;

