JCR Year and Edition: 2014 Science

Abbreviated Journal Title;ISSN;{2014} Total Cites;Impact Factor;5-Year Impact Factor;Immediacy Index;{2014} Articles;Cited Half-Life;Eigenfactor Score;Article Influence Score
HERPETOZOA;1013-4425;175;0.800;;0.105;19;>10.0;0.00019;;
HYSTRIX;0394-1914;339;2.860;1.577;0.292;24;4.1;0.00104;0.533;
ICHTHYOL EXPLOR FRES;0936-9902;557;1.400;1.171;0.343;35;>10.0;0.00075;0.336;
ICHTHYOL RES;1341-8998;628;0.810;0.752;0.231;39;8.6;0.00088;0.215;
IHERINGIA SER ZOOL;0073-4721;568;0.573;0.621;0.017;60;7.8;0.00086;0.193;
INT J PRIMATOL;0164-0291;2988;1.993;2.062;0.781;64;>10.0;0.00376;0.663;
INTEGR COMP BIOL;1540-7063;3890;2.929;3.655;1.087;103;8.0;0.00828;1.361;
INTEGR ZOOL;1749-4877;469;1.904;1.695;0.706;51;4.1;0.00173;0.554;
INVERTEBR BIOL;1077-8306;706;1.200;1.337;0.448;29;8.6;0.00106;0.416;
INVERTEBR REPROD DEV;0792-4259;611;0.609;0.690;0.167;36;>10.0;0.00045;0.201;
INVERTEBR SYST;1445-5226;718;2.264;2.006;0.686;35;6.2;0.00178;0.715;
ISJ-INVERT SURVIV J;1824-307X;209;0.929;1.158;0.400;5;4.7;0.00054;0.282;
ITAL J ZOOL;1125-0003;760;0.791;0.763;0.143;63;>10.0;0.00110;0.217;
J AM ASSOC LAB ANIM;1559-6109;733;1.118;1.200;0.132;76;4.5;0.00189;0.291;
J ANIM ECOL;0021-8790;13619;4.504;5.316;1.097;144;>10.0;0.02251;2.145;
J COMP NEUROL;0021-9967;32992;3.225;3.659;1.047;213;>10.0;0.02589;1.360;
J COMP PHYSIOL A;0340-7594;5251;2.036;2.103;0.790;81;>10.0;0.00530;0.732;
J COMP PHYSIOL B;0174-1578;3263;2.619;2.265;0.329;82;8.9;0.00530;0.696;
J COMP PSYCHOL;0735-7036;2776;2.344;2.286;0.902;41;>10.0;0.00327;0.892;
J CONCHOL;0022-0019;277;0.523;0.542;0.000;8;>10.0;0.00030;0.159;
J ETHOL;0289-0771;725;0.970;1.060;0.091;22;6.9;0.00164;0.344;
J EXP PSYCHOL-ANIM L;0097-7403;2532;1.949;2.248;0.325;40;>10.0;0.00306;0.868;
J EXP ZOOL PART A;1932-5223;1231;1.440;1.616;0.345;58;7.0;0.00251;0.494;
J EXP ZOOL PART B;1552-5007;1380;2.311;2.464;0.771;48;5.8;0.00375;0.850;
J HELMINTHOL;0022-149X;1572;1.421;1.333;0.382;68;>10.0;0.00184;0.352;
J HERPETOL;0022-1511;2925;0.832;1.020;0.177;79;>10.0;0.00233;0.328;
J INVERTEBR PATHOL;0022-2011;4550;2.110;2.419;0.528;108;8.3;0.00750;0.686;
J MAMM EVOL;1064-7554;587;2.357;2.961;0.417;24;8.7;0.00131;1.069;
J MAMMAL;0022-2372;7083;1.840;2.247;0.385;109;>10.0;0.00778;0.709;
J MED PRIMATOL;0047-2565;789;0.819;1.074;0.183;60;8.6;0.00114;0.279;
J MOLLUS STUD;0260-1230;1509;1.362;1.618;0.431;72;>10.0;0.00190;0.497;
J NEMATOL;0022-300X;1960;1.081;1.028;0.258;31;>10.0;0.00092;0.320;
J THERM BIOL;0306-4565;2087;1.505;1.678;0.397;73;9.4;0.00312;0.493;
J WILDLIFE MANAGE;0022-541X;9309;1.726;2.035;0.285;144;>10.0;0.00973;0.643;
J ZOOL;0952-8369;7571;1.883;2.078;0.612;98;>10.0;0.00617;0.724;
J ZOOL SYST EVOL RES;0947-5745;912;1.677;1.683;0.559;34;7.5;0.00205;0.639;
LAB ANIM-UK;0023-6772;1506;1.120;1.373;0.450;40;>10.0;0.00179;0.434;
LEARN BEHAV;1543-4494;748;1.885;2.006;0.118;34;6.2;0.00211;0.739;
MALACOLOGIA;0076-2997;873;0.532;1.250;0.000;13;>10.0;0.00076;0.387;
MAMM BIOL;1616-5047;892;1.478;1.526;0.414;58;4.6;0.00279;0.499;
MAMM STUDY;1343-4152;219;0.532;0.565;0.031;32;6.9;0.00037;0.136;
MAMMAL REV;0305-1838;1514;4.256;4.284;1.286;21;9.9;0.00198;1.414;
MAMMALIA;0025-1461;1037;0.681;0.828;0.172;64;>10.0;0.00102;0.246;
MAR MAMMAL SCI;0824-0469;2765;1.936;2.091;0.420;100;>10.0;0.00355;0.616;
MOLLUSCAN RES;1323-5818;169;0.512;0.643;0.292;24;7.0;0.00036;0.230;
NAUTILUS;0028-1344;445;0.472;0.517;0.188;16;>10.0;0.00034;0.184;
NEMATOLOGY;1388-5545;1466;1.239;1.299;0.330;103;8.2;0.00176;0.276;
NEMATROPICA;0099-5444;270;0.128;0.299;0.000;16;>10.0;0.00025;0.095;
NEOTROP ICHTHYOL;1679-6225;915;0.802;1.216;0.177;79;5.4;0.00219;0.327;
NEW ZEAL J ZOOL;0301-4223;889;0.964;1.116;0.464;28;>10.0;0.00095;0.409;
NORTH-WEST J ZOOL;1584-9074;284;0.869;0.841;0.208;77;3.3;0.00090;0.210;
ORG DIVERS EVOL;1439-6092;849;2.888;2.783;0.600;35;4.7;0.00243;0.949;
PAC SCI;0030-8870;1211;0.924;0.961;0.143;42;>10.0;0.00099;0.304;
PACHYDERM;1026-2881;129;0.273;0.427;0.222;9;9.5;0.00018;0.134;
PAK J ZOOL;0030-9923;628;0.404;0.447;0.096;249;3.9;0.00099;0.070;
PHYSIOL BIOCHEM ZOOL;1522-2152;2629;2.398;2.480;0.532;77;8.3;0.00500;0.889;
PRIMATES;0032-8332;1786;1.337;1.425;0.161;62;>10.0;0.00129;0.378;
RAFFLES B ZOOL;0217-2445;1047;1.024;1.158;0.165;97;6.7;0.00191;0.345;
REC AUST MUS;0067-1975;636;0.300;1.192;0.273;11;>10.0;0.00032;0.392;
REDIA;0370-4327;379;0.500;;0.077;26;>10.0;0.00025;;
REPROD FERT DEVELOP;1031-3613;2949;2.400;2.615;0.426;108;6.5;0.00617;0.759;
REV SUISSE ZOOL;0035-418X;806;0.431;0.397;0.087;23;>10.0;0.00036;0.146;
RUSS J NEMATOL;0869-6918;187;0.793;0.756;0.333;15;8.2;0.00025;0.194;
S AFR J WILDL RES;0379-4369;473;0.946;1.036;0.190;21;>10.0;0.00053;0.302;
SALAMANDRA;0036-3375;222;1.100;;0.158;19;8.1;0.00038;;
SPIXIANA;0341-8391;206;0.537;0.500;0.222;27;>10.0;0.00023;0.148;
STUD NEOTROP FAUNA E;0165-0521;514;0.796;0.709;0.071;28;>10.0;0.00044;0.239;
TROP ZOOL;0394-6975;255;0.840;0.831;0.000;11;>10.0;0.00029;0.286;
TURK J ZOOL;1300-0179;775;0.630;0.681;0.248;101;7.9;0.00113;0.166;
URSUS;1537-6176;538;0.780;1.081;0.167;18;>10.0;0.00047;0.297;
VERTEBR ZOOL;1864-5755;111;0.593;;0.120;25;3.8;0.00031;;
VET COMP ORTHOPAED;0932-0814;1018;0.894;1.150;0.156;77;6.2;0.00209;0.323;
WILDLIFE BIOL;0909-6396;1126;0.880;1.313;0.133;45;8.7;0.00170;0.472;
WILDLIFE MONOGR;0084-0173;664;5.200;5.000;0.833;6;>10.0;0.00041;2.009;
WILDLIFE RES;1035-3712;2320;1.487;1.771;0.049;41;9.4;0.00357;0.578;
ZEBRAFISH;1545-8547;759;1.946;2.285;0.379;66;5.1;0.00201;0.633;
ZOO BIOL;0733-3188;1302;0.831;1.092;0.194;67;>10.0;0.00142;0.292;
ZOOKEYS;1313-2989;1748;0.933;0.973;0.210;519;2.8;0.00832;0.313;
ZOOL ANZ;0044-5231;1520;1.483;1.671;0.400;30;>10.0;0.00137;0.527;
ZOOL J LINN SOC-LOND;0024-4082;3787;2.717;2.828;0.695;95;9.2;0.00758;1.040;
ZOOL MIDDLE EAST;0939-7140;373;0.411;0.522;0.152;46;7.8;0.00068;0.154;
ZOOL SCI;0289-0003;2227;0.857;0.951;0.188;112;9.7;0.00296;0.292;
ZOOL SCR;0300-3256;1884;3.224;3.121;0.347;49;8.2;0.00400;1.129;
ZOOL STUD;1021-5506;1007;0.776;0.935;0.157;70;7.5;0.00188;0.275;
ZOOL ZH;0044-5134;910;0.140;0.163;0.053;131;>10.0;0.00078;0.064;
ZOOLOGIA-CURITIBA;1984-4670;394;0.538;0.787;0.087;69;4.0;0.00206;0.263;
ZOOLOGY;0944-2006;1118;1.670;1.884;0.647;51;7.6;0.00216;0.630;
ZOOMORPHOLOGY;0720-213X;897;1.702;1.365;0.242;33;>10.0;0.00094;0.469;
ZOOSYSTEMA;1280-9551;379;0.692;0.822;0.318;22;8.5;0.00080;0.299;
ZOOTAXA;1175-5326;11168;0.906;0.945;0.283;1867;4.1;0.02571;0.204;

