JCR Year and Edition: 2014 Science

Abbreviated Journal Title;ISSN;{2014} Total Cites;Impact Factor;5-Year Impact Factor;Immediacy Index;{2014} Articles;Cited Half-Life;Eigenfactor Score;Article Influence Score
ACTA VIROL;0001-723X;649;1.280;0.919;0.075;53;>10.0;0.00089;0.254;
ADV VIRUS RES;0065-3527;1698;4.571;4.561;1.000;12;9.1;0.00288;1.591;
AIDS;0269-9370;22502;5.554;5.785;1.467;353;6.9;0.05438;2.167;
AIDS RES HUM RETROV;0889-2229;5198;2.325;2.162;0.561;164;7.3;0.01123;0.718;
ANTIVIR RES;0166-3542;6290;3.938;3.788;0.851;195;5.0;0.01567;1.099;
ANTIVIR THER;1359-6535;3690;3.020;2.856;1.352;88;4.9;0.01145;1.000;
ARCH VIROL;0304-8608;8773;2.390;2.205;0.542;426;7.8;0.01398;0.602;
CELL HOST MICROBE;1931-3128;9206;12.328;13.126;3.148;128;3.9;0.05185;6.243;
CURR HIV RES;1570-162X;1043;1.757;1.675;0.444;45;4.6;0.00333;0.544;
CURR OPIN VIROL;1879-6257;1829;6.064;6.399;1.086;105;2.5;0.01064;2.501;
FOOD ENVIRON VIROL;1867-0334;261;2.357;2.057;0.216;37;2.9;0.00110;0.567;
FUTURE VIROL;1746-0794;461;1.011;1.026;0.104;77;3.3;0.00194;0.312;
INFLUENZA OTHER RESP;1750-2640;1271;2.201;1.871;0.482;85;2.7;0.00638;0.672;
INT J MED MICROBIOL;1438-4221;3127;3.614;3.989;0.921;139;6.2;0.00651;1.172;
INTERVIROLOGY;0300-5526;1473;1.683;1.787;0.269;52;8.9;0.00214;0.513;
J CLIN VIROL;1386-6532;6415;3.016;3.138;0.406;229;5.4;0.01817;0.989;
J GEN VIROL;0022-1317;20082;3.183;3.230;1.049;265;>10.0;0.02593;1.004;
J MED VIROL;0146-6615;8913;2.347;2.368;0.559;288;7.4;0.01502;0.664;
J NEUROVIROL;1355-0284;2324;2.595;3.061;0.746;67;7.6;0.00388;0.832;
J VIRAL HEPATITIS;1352-0504;4742;3.909;3.753;1.178;135;5.1;0.01273;1.150;
J VIROL;0022-538X;95267;4.439;4.609;1.313;1268;8.7;0.15553;1.455;
J VIROL METHODS;0166-0934;7194;1.781;1.774;0.346;344;7.1;0.01245;0.488;
PLOS PATHOG;1553-7366;30229;7.562;8.364;1.465;669;3.8;0.14902;3.280;
RETROVIROLOGY;1742-4690;3288;4.185;3.725;1.805;113;4.1;0.01289;1.424;
REV MED VIROL;1052-9276;1845;5.574;5.985;0.808;26;7.0;0.00429;2.076;
S AFR J HIV MED;1608-9693;106;0.898;0.664;0.212;33;2.8;0.00053;0.271;
VIRAL IMMUNOL;0882-8245;1229;1.446;1.587;0.206;68;8.0;0.00183;0.425;
VIROL J;1743-422X;5201;2.181;2.218;0.357;224;3.9;0.01842;0.630;
VIROLOGIE;1267-8694;46;0.233;0.134;0.182;22;;0.00008;0.035;
VIROLOGY;0042-6822;26040;3.321;3.177;0.679;448;>10.0;0.03456;1.039;
VIRUS GENES;0920-8569;2101;1.576;1.531;0.263;137;5.8;0.00442;0.409;
VIRUS RES;0168-1702;7835;2.324;2.733;0.632;285;6.3;0.01637;0.786;
VIRUSES-BASEL;1999-4915;2523;3.353;3.419;0.516;258;2.9;0.01360;1.225;

