JCR Year and Edition: 2014 Science

Abbreviated Journal Title;ISSN;{2014} Total Cites;Impact Factor;5-Year Impact Factor;Immediacy Index;{2014} Articles;Cited Half-Life;Eigenfactor Score;Article Influence Score
AM MINERAL;0003-004X;15450;1.964;2.356;0.514;253;>10.0;0.01561;0.918;
APPL CLAY SCI;0169-1317;8332;2.467;3.246;0.332;398;5.6;0.01453;0.674;
CAN MINERAL;0008-4476;3957;1.181;1.317;0.273;33;>10.0;0.00358;0.487;
CLAY CLAY MINER;0009-8604;4851;1.228;1.623;0.107;28;>10.0;0.00274;0.626;
CLAY MINER;0009-8558;2288;0.969;1.243;0.378;37;>10.0;0.00139;0.396;
CONTRIB MINERAL PETR;0010-7999;14415;3.484;4.035;0.669;130;>10.0;0.01469;1.552;
ELEMENTS;1811-5209;1866;4.463;4.263;2.475;40;5.9;0.00620;1.973;
EUR J MINERAL;0935-1221;2867;1.483;1.513;0.286;63;>10.0;0.00375;0.548;
GEMS GEMOL;0016-626X;142;0.333;0.454;0.250;16;9.9;0.00020;0.132;
GEOL ORE DEPOSIT+;1075-7015;501;0.476;0.549;0.082;49;8.1;0.00103;0.213;
GOSPOD SUROWCAMI MIN;0860-0953;240;0.540;0.620;0.098;41;5.4;0.00043;0.134;
INT J MINER PROCESS;0301-7516;3218;1.310;1.692;0.256;90;>10.0;0.00383;0.531;
J MINER PETROL SCI;1345-6296;334;0.742;0.780;0.091;33;6.6;0.00080;0.271;
JOM-US;1047-4838;3894;1.757;1.773;0.393;257;8.8;0.00709;0.618;
LITHOL MINER RESOUR+;0024-4902;334;0.397;0.393;0.118;34;>10.0;0.00035;0.128;
LITHOS;0024-4937;13072;4.482;4.903;0.814;322;6.3;0.02927;1.508;
MINER DEPOSITA;0026-4598;2849;2.561;2.972;0.574;54;>10.0;0.00384;0.967;
MINER ENG;0892-6875;5019;1.597;1.751;0.256;242;8.4;0.00720;0.454;
MINER PETROL;0930-0708;1663;1.349;1.708;0.412;51;>10.0;0.00247;0.623;
MINERAL MAG;0026-461X;3457;2.026;1.949;0.550;80;>10.0;0.00551;0.811;
MINERALS-BASEL;2075-163X;74;1.000;1.000;0.410;39;;0.00031;0.341;
NEUES JB MINER ABH;0077-7757;834;0.378;0.654;0.214;14;>10.0;0.00047;0.234;
ORE GEOL REV;0169-1368;2872;3.558;4.070;1.266;173;5.9;0.00532;1.110;
PERIOD MINERAL;0369-8963;330;0.464;0.706;0.000;22;9.5;0.00048;0.238;
PETROLOGY+;0869-5911;682;1.111;1.225;0.273;33;8.4;0.00157;0.544;
PHYS CHEM MINER;0342-1791;3337;1.538;1.685;0.694;72;>10.0;0.00368;0.651;
RESOUR GEOL;1344-1698;498;1.151;1.225;0.074;27;8.5;0.00084;0.372;
REV MINERAL GEOCHEM;1529-6466;3954;4.760;5.479;1.842;19;>10.0;0.00553;2.878;

