JCR Year and Edition: 2014 Science

Abbreviated Journal Title;ISSN;{2014} Total Cites;Impact Factor;5-Year Impact Factor;Immediacy Index;{2014} Articles;Cited Half-Life;Eigenfactor Score;Article Influence Score
ADV MECH ENG;1687-8132;506;0.575;0.787;0.104;569;1.9;0.00146;0.163;
APPL THERM ENG;1359-4311;14791;2.739;3.034;0.527;876;5.4;0.02711;0.664;
ASHRAE J;0001-2491;547;0.190;0.304;0.092;98;>10.0;0.00050;0.071;
BUILD SIMUL-CHINA;1996-3599;238;1.029;1.178;0.073;55;3.9;0.00083;0.342;
CALPHAD;0364-5916;2511;1.370;1.831;0.442;86;>10.0;0.00354;0.598;
COMBUST EXPLO SHOCK+;0010-5082;1288;0.572;0.670;0.126;103;>10.0;0.00111;0.152;
COMBUST FLAME;0010-2180;12685;3.082;3.557;0.679;274;9.2;0.01833;0.947;
COMBUST SCI TECHNOL;0010-2202;3135;0.991;1.068;0.119;134;>10.0;0.00286;0.373;
COMBUST THEOR MODEL;1364-7830;858;1.280;1.429;0.310;29;7.6;0.00192;0.551;
CONTINUUM MECH THERM;0935-1175;781;1.779;1.627;0.341;44;8.2;0.00242;0.825;
CRYOGENICS;0011-2275;2232;1.168;1.119;0.147;150;>10.0;0.00242;0.279;
ENERG CONVERS MANAGE;0196-8904;20440;4.380;4.512;1.262;989;5.8;0.02460;0.743;
ENERGY;0360-5442;24923;4.844;5.153;0.819;1260;3.9;0.04667;0.923;
EXP HEAT TRANSFER;0891-6152;523;0.979;1.065;0.300;30;>10.0;0.00057;0.335;
EXP THERM FLUID SCI;0894-1777;4774;1.990;2.180;0.432;234;6.9;0.00948;0.643;
FLOW TURBUL COMBUST;1386-6184;1149;1.519;1.708;0.380;71;6.1;0.00340;0.680;
FLUID PHASE EQUILIBR;0378-3812;11657;2.200;2.334;0.603;506;8.3;0.01513;0.551;
HEAT MASS TRANSFER;0947-7411;2316;0.946;1.123;0.146;157;7.5;0.00400;0.323;
HEAT TRANSF RES;1064-2285;137;0.477;0.393;0.390;41;3.4;0.00050;0.134;
HEAT TRANSFER ENG;0145-7632;1524;0.814;0.918;0.354;144;7.2;0.00235;0.264;
HIGH TEMP-HIGH PRESS;0018-1544;496;0.455;;0.029;35;>10.0;0.00029;;
HVAC&R RES;1078-9669;953;0.673;0.954;0.133;83;7.4;0.00140;0.254;
INT COMMUN HEAT MASS;0735-1933;5264;2.782;2.965;0.373;217;4.9;0.01198;0.732;
INT J ENGINE RES;1468-0874;664;1.506;1.788;0.096;73;5.8;0.00161;0.536;
INT J EXERGY;1742-8297;362;0.879;0.865;0.059;51;4.8;0.00060;0.142;
INT J GREEN ENERGY;1543-5075;796;1.215;1.764;0.479;73;4.6;0.00111;0.247;
INT J HEAT FLUID FL;0142-727X;4519;1.596;2.216;0.230;100;8.2;0.00769;0.818;
INT J HEAT MASS TRAN;0017-9310;29586;2.383;2.809;0.549;977;8.8;0.04201;0.737;
INT J NUMER METHOD H;0961-5539;898;1.399;1.312;0.172;116;6.4;0.00129;0.260;
INT J REFRIG;0140-7007;5969;2.241;2.516;0.543;289;6.7;0.00808;0.508;
INT J SPRAY COMBUST;1756-8277;62;0.467;0.762;0.000;16;;0.00040;0.319;
INT J THERM SCI;1290-0729;6371;2.629;3.156;0.690;252;5.0;0.01684;0.894;
INT J THERMOPHYS;0195-928X;3251;0.963;1.018;0.151;192;9.6;0.00456;0.290;
ISI BILIM TEK DERG;1300-3615;33;0.131;0.209;0.062;32;;0.00012;0.056;
J APPL FLUID MECH;1735-3572;181;0.746;;0.130;69;2.9;0.00035;;
J CHEM THERMODYN;0021-9614;7899;2.679;2.531;0.784;365;6.0;0.01331;0.580;
J ENG THERMOPHYS-RUS;1810-2328;103;0.556;0.433;0.088;34;4.3;0.00033;0.133;
J ENHANC HEAT TRANSF;1065-5131;237;0.244;0.427;;;9.0;0.00041;0.150;
J HEAT TRANS-T ASME;0022-1481;9187;1.450;1.686;0.571;203;>10.0;0.00970;0.540;
J NON-EQUIL THERMODY;0340-0204;441;1.667;1.436;0.111;18;>10.0;0.00053;0.329;
J POROUS MEDIA;1091-028X;491;0.807;0.608;0.229;83;5.0;0.00091;0.127;
J THERM SCI;1003-2169;358;0.401;0.448;0.105;76;5.9;0.00088;0.143;
J THERM SCI TECH-JPN;1880-5566;126;0.536;0.443;0.000;13;3.6;0.00046;0.138;
J THERM STRESSES;0149-5739;1406;0.992;1.129;0.197;76;>10.0;0.00195;0.385;
J THERMOPHYS HEAT TR;0887-8722;1771;0.833;0.953;0.195;87;>10.0;0.00207;0.292;
MICROGRAVITY SCI TEC;0938-0108;459;0.910;0.852;0.094;53;5.7;0.00134;0.290;
NANOSC MICROSC THERM;1556-7265;216;1.415;1.422;0.500;18;4.5;0.00065;0.452;
NUMER HEAT TR A-APPL;1040-7782;2228;1.975;1.768;0.571;126;7.4;0.00300;0.391;
NUMER HEAT TR B-FUND;1040-7790;1081;1.172;1.226;0.306;49;>10.0;0.00133;0.358;
OPEN SYST INF DYN;1230-1612;271;0.685;0.699;1.045;22;7.3;0.00083;0.395;
P COMBUST INST;1540-7489;7564;2.262;2.622;;0;7.6;0.01905;1.021;
PROG COMPUT FLUID DY;1468-4349;254;0.688;0.516;0.028;36;6.4;0.00063;0.187;
PROG ENERG COMBUST;0360-1285;6443;19.220;21.043;2.059;17;7.3;0.01177;6.389;
THERM SCI;0354-9836;1054;1.222;1.143;0.089;237;3.2;0.00219;0.186;
THERMOPHYS AEROMECH+;0869-8643;234;0.363;0.359;0.145;62;5.6;0.00064;0.123;

